StandingFoot;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/06_17:02:24.843;0.02004433;0.6327542;0.230005;0.6574887;0.8336591;0.01878691;0.9486409;0;0;0;-0.202786;0.04363425;-0.288854;347.1458;272.6094;0.3009456;0.258953;0;0;0;0;0;0;0;0;0;0;0;0;0.06176186;0.2770283;-0.1793454;299.8484;352.6542;6.021596;0.5214225;0.3084621;0.1690478;0.007116079;279.3009;285.1906;78.72894;-0.8724222;0;0;0;0;0;0;-113.6171;0;320.7411;0;True;;True;False;True;False;right;right;;0.2674281;0.7158936;0.3538186;352.8591;140.7411;-0.3271928;-1.539091;140.7411;320.7411;0;272.6095;1.982689;
MW;2023/03/06_17:02:24.843;0.03980732;0.6287398;0.230005;0.6620312;0.8294025;0.01878357;0.9530571;0;0;0;-0.2028223;0.04366405;-0.2887813;347.1467;272.6002;0.2952877;0.2733724;0;0;0;0;0;0;0;0;0;0;0;0;0.05860746;0.284713;-0.1629215;304.6805;351.3893;7.073528;0.7144457;0.3230541;0.1811807;0.000392437;278.8975;282.3182;81.45882;-0.6835563;0;0;0;0;0;0;-113.685;0;315.7813;0;True;;True;False;True;False;right;right;;0.2778999;0.7189851;0.3926145;350.6947;135.7813;0.4785377;-1.224523;135.7813;315.7813;0;272.6002;2.111095;
MW;2023/03/06_17:02:24.843;0.06679726;0.6222691;0.230005;0.6684858;0.8230191;0.01878059;0.9593411;0;0;0;-0.2027697;0.04366732;-0.2888672;347.1427;272.6046;0.2966187;0.347936;0;0;0;0;0;0;0;0;0;0;0;0;0.05707204;0.2875755;-0.1600461;304.5534;350.245;8.488624;0;0.3333058;0.1845748;-0.008059502;278.7086;277.6284;86.61629;0;0;0;0;0;0;0;-113.7428;0;314.5507;0;True;;True;False;True;False;right;right;;0.255064;0.6703998;0.3498562;348.2253;134.5507;0.2808209;-0.7792788;134.5507;314.5507;0;272.6046;2.577431;
MW;2023/03/06_17:02:24.843;0.08784294;0.6202495;0.230005;0.6704739;0.8208653;0.01883006;0.9612522;0;0;0;-0.2027321;0.0435111;-0.289036;347.1425;272.6099;0.2963939;0.2288452;0;0;0;0;0;0;0;0;0;0;0;0;0.05522966;0.284704;-0.1484756;300.031;352.4448;7.572672;0.4856775;0.3437455;0.1887805;-0.01650143;278.6179;280.6515;83.74569;-0.8611827;0;0;0;0;0;0;-113.76;0;2.937045;0;True;;True;False;True;False;right;right;;0.2591466;0.679939;0.3566473;345.7329;131.5824;0.3210872;-0.7917706;131.5824;311.5824;0;272.6108;2.447835;
MW;2023/03/06_17:02:24.843;0.104928;0.6158509;0.2300051;0.6742931;0.8163316;0.01881325;0.9654829;0;0;0;-0.2027909;0.04355267;-0.2890261;347.1409;272.6056;0.3102299;0.3268428;0;0;0;0;0;0;0;0;0;0;0;0;0.05326843;0.2797682;-0.1316797;298.3417;355.7176;5.609398;0.6659853;0.35478;0.1965492;-0.02703714;277.7461;277.5034;86.49047;-0.6758726;0;0;0;0;0;0;-113.7743;0;313.616;0;True;;True;False;True;False;right;right;;0.2805115;0.698068;0.4239781;351.3906;133.616;0.5669539;-0.8113423;133.616;313.616;0;272.6056;3.116623;
MW;2023/03/06_17:02:24.843;0.1239815;0.6112264;0.230005;0.6786287;0.8116475;0.01877224;0.9698359;0;0;0;-0.2028503;0.04364218;-0.2889168;347.1441;272.6116;0.2879183;0.3068459;0;0;0;0;0;0;0;0;0;0;0;0;0.05172133;0.2717097;-0.1150036;295.3375;354.6598;6.729347;0.7566705;0.3678985;0.2046118;-0.03834677;278.1535;277.4938;86.58163;-0.833295;0;0;0;0;0;0;-113.8059;0;312.5852;0;True;;True;False;True;False;right;right;;0.2905671;0.7061401;0.4561284;352.8059;132.5852;0.6340256;-0.8017672;132.5852;312.5852;0;272.6116;3.15389;
MW;2023/03/06_17:02:24.843;0.1410799;0.6087973;0.230005;0.6809191;0.8092301;0.01876724;0.9723471;0;0;0;-0.2028352;0.04370331;-0.2888516;347.1604;272.6177;0.2936481;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05072343;0.2610021;-0.09645939;292.8062;352.4178;8.561872;1.671394;0.3765612;0.2115881;-0.05048692;277.0544;276.3478;87.44132;-1.342254;0;0;0;0;0;0;-113.819;0;316.0903;0;True;;True;False;True;False;right;right;;0.3137094;0.7379458;0.5168917;354.4399;136.0903;0.8409799;-0.9057852;136.0903;316.0903;0;272.6177;2.793041;
MW;2023/03/06_17:02:24.843;0.1586628;0.6042008;0.2300051;0.6861789;0.8048751;0.01877302;0.9776999;0;0;0;-0.202796;0.04368502;-0.2889132;347.1513;272.6079;0.2964066;0.4059424;0;0;0;0;0;0;0;0;0;0;0;0;0.04943776;0.2543597;-0.0861882;291.62;351.7155;9.077975;0;0.3784329;0.2117569;-0.0581007;277.4271;274.7583;88.07291;0;0;0;0;0;0;0;-113.9148;0;320.8683;0;True;;True;False;True;False;right;right;;0.3025652;0.6995141;0.5107467;354.0984;140.8683;0.6872424;-0.6797441;140.8683;320.8683;0;272.6079;2.182012;
MW;2023/03/06_17:02:24.843;0.1808176;0.5999186;0.230005;0.6913188;0.8004276;0.0188278;0.9827448;0;0;0;-0.2026757;0.04347177;-0.2889683;347.1341;272.6101;0.3112377;0.3972727;0;0;0;0;0;0;0;0;0;0;0;0;0.04829335;0.2461383;-0.07565427;290.3437;351.0982;9.594411;0;0.3857772;0.2160738;-0.06462419;277.7567;274.163;88.96989;0;0;0;0;0;0;0;-114.024;0;318.601;0;True;;True;False;True;False;right;right;;0.294888;0.6733055;0.5062464;354.0215;138.601;0.5924147;-0.5750986;138.601;318.601;0;272.6101;2.258592;
MW;2023/03/06_17:02:24.843;0.2033644;0.5956187;0.230005;0.6964061;0.7963488;0.01885134;0.9877977;0;0;0;-0.2027172;0.04343254;-0.2889299;347.1364;272.606;0.3116783;0.3019709;0;0;0;0;0;0;0;0;0;0;0;0;0.04694295;0.2389112;-0.06495035;288.8698;350.6378;10.0588;0;0.3890017;0.2156496;-0.07038498;277.5936;280.5141;82.34322;0;0;0;0;0;0;0;-114.1343;0;321.0887;0;True;;True;False;True;False;right;right;;0.2847226;0.635881;0.5030094;353.6693;141.0887;0.534479;-0.4614305;141.0887;321.0887;0;272.6061;2.111679;
MW;2023/03/06_17:02:24.843;0.2262545;0.5916412;0.230005;0.7015891;0.7926946;0.01885366;0.9929442;0;0;0;-0.2028336;0.04344687;-0.2888478;347.1356;272.5983;0.2908314;0.2954325;0;0;0;0;0;0;0;0;0;0;0;0;0.04504526;0.2308693;-0.05455089;287.3711;350.0974;10.66179;0;0.3925103;0.2173402;-0.07751107;278.0593;278.6764;85.12415;0;0;0;0;0;0;0;-114.2736;0;324.6244;0;True;;True;False;True;False;right;right;;0.2767492;0.607839;0.4991578;352.4343;144.6244;0.4940336;-0.4076736;144.6244;324.6244;0;272.5983;2.581444;
MW;2023/03/06_17:02:24.843;0.2473602;0.5880609;0.2300051;0.7065637;0.7892804;0.01883882;0.9979314;0;0;0;-0.2028829;0.04350836;-0.2889381;347.1411;272.5934;0.3121538;0.28542;0;0;0;0;0;0;0;0;0;0;0;0;0.04395819;0.2227256;-0.04310489;285.8594;350.0346;10.8202;0;0.3938042;0.2199955;-0.07994998;277.9356;277.8174;86.19479;0;0;0;0;0;0;0;-114.4316;0;325.6049;0;True;;True;False;True;False;right;right;;0.2650048;0.5603774;0.4996417;353.1699;145.6049;0.4816697;-0.3003781;145.6049;325.6049;0;272.5934;2.686308;
MW;2023/03/06_17:02:24.843;0.2696896;0.5847062;0.230005;0.7114019;0.7858835;0.0188334;1.002787;0;0;0;-0.2028322;0.04351529;-0.2890194;347.1355;272.5999;0.3064857;0.2903991;0;0;0;0;0;0;0;0;0;0;0;0;0.04214334;0.2138243;-0.03174973;284.3195;349.7608;11.26359;0;0.3983943;0.2232068;-0.08627331;278.4676;277.8991;85.78909;0;0;0;0;0;0;0;-114.5887;0;325.0213;0;True;;True;False;True;False;right;right;;0.2598075;0.5391441;0.5000861;352.3835;145.0213;0.4737751;-0.3047318;145.0213;325.0213;0;272.5999;2.572734;
MW;2023/03/06_17:02:24.843;0.2918568;0.582601;0.230005;0.7167397;0.7849432;0.01884454;1.008503;0;0;0;-0.2028003;0.0434652;-0.2889783;347.1429;272.5957;0.3091718;0.2636631;0;0;0;0;0;0;0;0;0;0;0;0;0.04044235;0.205178;-0.02043605;282.4349;349.5115;11.6567;0;0.3931825;0.2201626;-0.09069133;277.4843;273.3013;90.87717;0;0;0;0;0;0;0;-114.8452;0;350.658;0;True;;True;False;True;False;right;right;;0.2540058;0.5157861;0.5002373;352.0548;170.658;0.4679499;-0.2264219;170.658;350.658;0;272.5958;2.82117;
MW;2023/03/06_17:02:24.843;0.3141251;0.5809454;0.2300051;0.7223898;0.7827277;0.01881033;1.013787;0;0;0;-0.2028616;0.04361302;-0.2888228;347.1401;272.6054;0.310424;0.2588477;0;0;0;0;0;0;0;0;0;0;0;0;0.03881896;0.1962695;-0.009215355;280.593;349.8013;11.54769;0;0.3987858;0.2206182;-0.09802151;277.0399;283.8388;79.31125;0;0;0;0;0;0;0;-115.1474;0;337.2523;0;True;;True;False;True;False;right;right;;0.2512181;0.5049403;0.4999321;351.9535;157.2524;0.4627469;-0.2695056;157.2524;337.2523;0;272.6054;2.393109;
MW;2023/03/06_17:02:24.843;0.3364029;0.5781083;0.230005;0.7270893;0.7791257;0.01880682;1.018305;0;0;0;-0.2027722;0.04359302;-0.2890144;347.1309;272.6001;0.2974607;0.2643901;0;0;0;0;0;0;0;0;0;0;0;0;0.03740311;0.1878629;0.001890659;278.8094;350.2191;11.30114;0;0.4096426;0.2264435;-0.1064018;277.2325;285.5296;77.3048;0;0;0;0;0;0;0;-115.335;0;321.4355;0;True;;True;False;True;False;right;right;;0.2533478;0.51434;0.4990512;352.2289;141.4355;0.4573693;-0.3577709;141.4355;321.4355;0;272.6001;2.295409;
MW;2023/03/06_17:02:24.843;0.358799;0.574643;0.2300051;0.7315947;0.7757874;0.01882899;1.022886;0;0;0;-0.2027708;0.04350101;-0.2890596;347.1319;272.6118;0.29256;0.2464179;0;0;0;0;0;0;0;0;0;0;0;0;0.03565598;0.1799402;0.01279688;277.0554;352.0027;9.678329;0;0.4135311;0.2280147;-0.1129088;277.8549;281.1509;82.61053;0;0;0;0;0;0;0;-115.4706;0;323.9203;0;True;;True;False;True;False;right;right;;0.2485525;0.4965977;0.4976122;351.7606;143.9203;0.4517406;-0.3374625;143.9203;323.9203;0;272.6118;2.795463;
MW;2023/03/06_17:02:24.843;0.4161139;0.5665017;0.230005;0.7423276;0.7678283;0.01886022;1.0332;0;0;0;-0.2027594;0.04343225;-0.2890155;347.1343;272.6004;0.2928869;0.2537937;0;0;0;0;0;0;0;0;0;0;0;0;0.0344224;0.1731019;0.0237298;275.5709;357.1654;4.647725;0;0.4196324;0.2311437;-0.1201391;277.9037;282.2253;81.54964;0;0;0;0;0;0;0;-115.7972;0;322.3424;0;True;;True;False;True;False;right;right;;0.2110757;0.4189336;0.4253693;352.3985;142.3424;0.2291182;-0.1802225;142.3424;322.3424;0;272.6004;2.846842;
MW;2023/03/06_17:02:24.843;0.4365568;0.5674409;0.2300051;0.745291;0.7714147;0.01882088;1.036567;0;0;0;-0.2027758;0.0435415;-0.2888678;347.1411;272.6015;0.2976212;0.2092703;0;0;0;0;0;0;0;0;0;0;0;0;0.03190756;0.1618443;0.0446198;273.733;9.604422;352.3681;0.8824188;0.4072878;0.22436;-0.1248139;277.6432;286.5661;76.39526;-0.6598296;0;0;0;0;0;0;-116.054;0;27.2565;0;True;;True;False;True;False;right;right;;0.2392508;0.480863;0.4761401;352.7143;207.2565;0.4848813;-0.2035661;207.2565;27.2565;0;272.6015;2.517604;
MW;2023/03/06_17:02:24.843;0.4695358;0.5710771;0.230005;0.7515282;0.7763152;0.01887733;1.041514;0;0;0;-0.2026483;0.04338706;-0.2888997;347.1422;272.5942;0.2934237;-0.2514904;0;0;0;0;0;0;0;0;0;0;0;0;0.02991688;0.1527853;0.06239867;272.6916;40.1104;321.8377;0;0.3952758;0.217169;-0.1265452;277.7059;288.6297;74.59483;0;0;0;0;0;0;0;-116.6929;0;67.25325;0;True;;True;False;True;False;right;right;;0.2527488;0.5282022;0.4827929;353.0341;247.2533;0.4793628;-0.25899;247.2533;67.25325;0;272.5942;2.637301;
MW;2023/03/06_17:02:24.843;0.492178;0.5751033;0.230005;0.7550545;0.7792639;0.0188514;1.046273;0;0;0;-0.2027241;0.0434817;-0.2888996;347.1496;272.6012;0.3198713;-0.2037114;0;0;0;0;0;0;0;0;0;0;0;0;0.02985752;0.1489444;0.07130265;272.6212;51.61823;310.2679;0;0.3993574;0.22016;-0.1326391;277.5162;288.0274;75.03024;0;0;0;0;0;0;0;-117.168;0;31.7838;0;True;;True;False;True;False;right;right;;0.2454609;0.5080575;0.473786;354.9734;211.7838;0.4344156;-0.178629;211.7838;31.7838;0;272.6012;2.518521;
MW;2023/03/06_17:02:24.844;0.5144777;0.5792842;0.230005;0.7579297;0.7847291;0.01881522;1.04731;0;0;0;-0.2027824;0.04360078;-0.2888749;347.1472;272.6086;0.295534;-0.236385;0;0;0;0;0;0;0;0;0;0;0;0;0.03022671;0.1474881;0.07635021;272.5987;56.49533;305.3105;0;0.3837618;0.2103662;-0.1296451;276.7137;293.5461;69.84267;0;0;0;0;0;0;0;-117.6017;0;79.25082;0;True;;True;False;True;False;right;right;;0.2439096;0.5264106;0.4492278;356.8824;259.2508;0.3501599;-0.2898788;259.2508;79.25082;0;272.6087;2.646818;
MW;2023/03/06_17:02:24.844;0.538949;0.5839139;0.230005;0.7602404;0.7886589;0.01881009;1.050882;0;0;0;-0.2028304;0.0435851;-0.2889015;347.1363;272.6013;0.2953905;-0.2275396;0;0;0;0;0;0;0;0;0;0;0;0;0.03031206;0.1455119;0.08126593;272.7617;61.86536;299.8949;0;0.3869209;0.21223;-0.1358761;277.5307;282.3469;81.47389;0;0;0;0;0;0;0;-118.0224;0;47.7294;0;True;;True;False;True;False;right;right;;0.2328493;0.5049511;0.4264459;357.8693;227.7294;0.2947607;-0.1848383;227.7294;47.7294;0;272.6013;2.812449;
MW;2023/03/06_17:02:24.844;0.5585098;0.5884389;0.230005;0.7625757;0.7936146;0.01880926;1.052217;0;0;0;-0.2027614;0.04358332;-0.2889909;347.1424;272.6019;0.2980894;-0.211443;0;0;0;0;0;0;0;0;0;0;0;0;0.03103673;0.1440673;0.08536243;272.8764;68.73469;292.9042;0;0.3772368;0.2060204;-0.1345955;277.4391;283.0307;80.19516;0;0;0;0;0;0;0;-118.4377;0;74.92741;0;True;;True;False;True;False;right;right;;0.2250325;0.4974782;0.4026519;0.7920256;254.9274;0.2475297;-0.2350747;254.9274;74.92741;0;272.6019;2.459853;
MW;2023/03/06_17:02:24.844;0.5807266;0.5923646;0.2300051;0.7652721;0.7965145;0.01881498;1.056147;0;0;0;-0.2027371;0.04355912;-0.2889603;347.127;272.5955;0.3038338;-0.260317;0;0;0;0;0;0;0;0;0;0;0;0;0.03147244;0.1423457;0.08900547;272.8177;73.91193;287.5973;0;0.3815273;0.2073781;-0.1397376;277.4291;288.82;75.12972;0;0;0;0;0;0;0;-118.8407;0;36.41751;0;True;;True;False;True;False;right;right;;0.2141705;0.4776037;0.3790783;2.298614;216.4175;0.2110335;-0.140633;216.4175;36.41751;0;272.5955;2.778891;
MW;2023/03/06_17:02:24.844;0.6028395;0.5960308;0.230005;0.7681372;0.8008449;0.01881033;1.058181;0;0;0;-0.2027044;0.04358383;-0.289053;347.135;272.5998;0.2943035;-0.2143666;0;0;0;0;0;0;0;0;0;0;0;0;0.03100252;0.1397662;0.09265041;272.321;78.92299;282.4391;0;0.3699815;0.2036288;-0.1418717;277.5248;283.5039;80.0471;0;0;0;0;0;0;0;-119.2501;0;64.84702;0;True;;True;False;True;False;right;right;;0.2097653;0.4812317;0.3578293;359.5874;244.847;0.1874448;-0.2427069;244.847;64.84702;0;272.5998;2.493508;
