AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_14:06:06.463;0.01010895;0.2312088;0.9458878;0.5491794;0.05280484;-5.960464E-08;0.3324787;0;0;0;0.1815422;1.532469;0.2192038;29.64071;22.89851;359.1394;0.3613205;0;0;0;0;0;0;0.1562365;0.1339545;-0.09020686;272.5064;251.511;128.9776;-0.08137703;0.1814463;-0.2451444;287.2126;4.348299;0.7448059;-0.2662044;0.1562365;0.1339545;-0.09020686;272.5064;251.511;128.9776;-0.3846744;0;0;0;0;0;0;-30.06326;0;12.97007;0;True;;False;True;True;True;right;right;;0.2354358;0.5992674;0.3424756;
MW;2023/03/06_14:06:06.463;0.03225327;0.2371748;0.9464283;0.5542041;0.05394737;-5.960464E-08;0.3374831;0;0;0;0.1861284;1.533228;0.2191677;28.94492;22.49685;359.2655;0.3529081;0;0;0;0;0;0;0.1518921;0.1323967;-0.09728217;272.4767;237.8637;142.3918;-0.08131135;0.1949263;-0.2460034;290.8891;7.071427;358.4673;0.5430193;0.1518921;0.1323967;-0.09728217;272.4767;237.8637;142.3918;-0.3288374;0;0;0;0;0;0;-30.529;0;13.08078;0;True;;False;True;True;True;right;right;;0.2306588;0.5792063;0.3434289;
MW;2023/03/06_14:06:06.463;0.05444717;0.2426029;0.946787;0.5590311;0.05503251;-5.960464E-08;0.3422122;0;0;0;0.190051;1.533962;0.2190468;28.59382;22.14193;359.1291;0.3369581;0;0;0;0;0;0;0.1524103;0.1316829;-0.09723043;272.6949;241.5579;138.6583;-0.08045757;0.2072308;-0.2485182;291.5006;8.089478;357.1129;-0.07468352;0.1524103;0.1316829;-0.09723043;272.6949;241.5579;138.6583;0.1319875;0;0;0;0;0;0;-30.98119;0;12.85826;0;True;;False;True;True;True;right;right;;0.214067;0.5333959;0.3228719;
MW;2023/03/06_14:06:06.463;0.07670593;0.2471937;0.947171;0.5634555;0.05606829;-5.960464E-08;0.3467046;0;0;0;0.1932215;1.534685;0.2187821;28.74232;21.90259;358.9083;0.3015548;0;0;0;0;0;0;0.1503828;0.130908;-0.1002163;272.3408;248.8192;131.3737;-0.07860327;0.2232478;-0.2465651;293.8383;9.04735;356.2307;-0.2736877;0.1503828;0.130908;-0.1002163;272.3408;248.8192;131.3737;-0.08907086;0;0;0;0;0;0;-31.40477;0;12.88704;0;True;;False;True;True;True;right;right;;0.2044715;0.4976156;0.3202703;
MW;2023/03/06_14:06:06.463;0.09889221;0.2510563;0.9473575;0.5676771;0.05705141;-5.960464E-08;0.3509739;0;0;0;0.1958802;1.534937;0.2188901;28.86453;21.63562;358.8454;0.2636972;0;0;0;0;0;0;0.1508164;0.1318216;-0.09752309;272.1949;258.1136;122.1081;-0.07626629;0.2407734;-0.2431682;297.0211;9.949001;355.6613;-0.2658603;0.1508164;0.1318216;-0.09752309;272.1949;258.1136;122.1081;-0.06126812;0;0;0;0;0;0;-31.8085;0;13.07735;0;True;;False;True;True;True;right;right;;0.1941866;0.4662876;0.3104587;
MW;2023/03/06_14:06:06.463;0.121067;0.2544841;0.947551;0.5720779;0.05805491;-5.960464E-08;0.3552375;0;0;0;0.197729;1.534918;0.2192228;28.76685;21.18422;358.7551;0.2604948;0;0;0;0;0;0;0.1489735;0.1334834;-0.1058614;272.6971;238.7162;141.4062;-0.07453251;0.2556796;-0.2385433;297.6484;13.34519;353.1586;0.6927502;0.1489735;0.1334834;-0.1058614;272.6971;238.7162;141.4062;-0.4678861;0;0;0;0;0;0;-32.19651;0;13.29227;0;True;;False;True;True;False;right;right;;0.1994908;0.4585484;0.3394148;
MW;2023/03/06_14:06:06.463;0.143383;0.2571152;0.9473475;0.5767082;0.05908976;-5.960464E-08;0.3594129;0;0;0;0.1989544;1.534711;0.2196549;28.81133;20.77403;358.5547;0.2436336;0;0;0;0;0;0;0.1491482;0.1329188;-0.1073475;272.5706;242.7178;137.4483;-0.07329559;0.2659006;-0.2316943;298.1816;15.43242;352.7962;0.3839414;0.1491482;0.1329188;-0.1073475;272.5706;242.7178;137.4483;-0.07238207;0;0;0;0;0;0;-32.59053;0;14.10273;0;True;;False;True;True;False;right;right;;0.1915399;0.4224337;0.343726;
MW;2023/03/06_14:06:06.463;0.1655579;0.2590965;0.9473366;0.5812272;0.06017365;-5.960464E-08;0.363506;0;0;0;0.1997475;1.534475;0.219807;29.23076;20.46309;358.4852;0.2283884;0;0;0;0;0;0;0.1480327;0.1334522;-0.1087959;272.6404;248.1894;132.0064;-0.07212114;0.2753069;-0.2179425;300.0806;14.83518;355.2383;0.8961386;0.1480327;0.1334522;-0.1087959;272.6404;248.1894;132.0064;-0.1604586;0;0;0;0;0;0;-32.9693;0;15.13875;0;True;;False;True;True;False;right;right;;0.1924309;0.391472;0.3782516;
MW;2023/03/06_14:06:06.463;0.187809;0.2608047;0.9472021;0.5852991;0.06134431;-5.960464E-08;0.3676375;0;0;0;0.2001256;1.534411;0.2195593;29.84363;20.16642;358.5921;0.2018729;0;0;0;0;0;0;0.1469982;0.1333227;-0.1127892;272.5592;245.6809;134.2619;-0.07162488;0.279258;-0.2087923;299.8355;14.31676;357.705;0.5446091;0.1469982;0.1333227;-0.1127892;272.5592;245.6809;134.2619;-0.1854546;0;0;0;0;0;0;-33.35316;0;16.08436;0;True;;False;True;True;False;right;right;;0.1929624;0.3719834;0.3998661;
MW;2023/03/06_14:06:06.463;0.2099419;0.2621073;0.9472548;0.5893633;0.06260617;-5.960464E-08;0.3717913;0;0;0;0.2000586;1.534779;0.2196861;30.47227;19.78726;358.9196;0.1808694;0;0;0;0;0;0;0.1459713;0.1333947;-0.1176555;272.7005;252.5997;127.5796;-0.07111716;0.2802072;-0.1985499;297.6451;13.08528;0.5527015;0.7409827;0.1459713;0.1333947;-0.1176555;272.7005;252.5997;127.5796;-0.2588022;0;0;0;0;0;0;-33.73727;0;17.12334;0;True;;False;True;True;False;right;right;;0.1967541;0.3588894;0.428127;
