Task;Timestamp;PosX;PosY;PosZ;RotX;RotY;RotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;TargetPosX;TargetPosY;TargetPosZ;GWAngle
MW;2022/09/22_20:51:54.363;-10.19259;0.07999998;21.25521;0;270;0;0.1527369;0.9637825;-0.663837;34.9772;17.35039;357.3529;0;0;0;0;0;0;0.282085;0.7451954;-0.4515672;307.2704;351.5049;349.1277;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-10.69215;0.07999992;21.17608;0;270;0;0.152807;0.963181;-0.6634648;35.40963;17.14978;357.2234;0;0;0;0;0;0;0.2845981;0.7463369;-0.4485121;308.0694;353.4505;349.081;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-10.78566;0.07999998;21.16127;0;270;0;0.1527901;0.9634075;-0.6633294;35.3067;17.00902;357.2085;0;0;0;0;0;0;0.2849789;0.7467245;-0.449498;307.8096;353.3584;348.6751;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-10.843;0.07999998;21.15219;0;270;0;0.1526431;0.9637467;-0.6633675;35.09053;16.55548;357.2021;0;0;0;0;0;0;0.2854412;0.7468932;-0.4503738;307.64;353.1768;347.9974;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-10.90497;0.07999992;21.14237;0;270;0;0.1523798;0.9641502;-0.6631985;34.93265;16.18221;357.1615;0;0;0;0;0;0;0.2845935;0.7467339;-0.4538021;307.3414;352.8648;347.7969;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-10.94861;0.07999998;21.13546;0;270;0;0.1520761;0.9644682;-0.6629677;34.69165;15.78167;357.0826;0;0;0;0;0;0;0.2847588;0.746897;-0.4541891;307.1921;352.7179;347.3491;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-10.98649;0.07999992;21.12946;0;270;0;0.1517365;0.9650004;-0.6628664;34.43787;15.27384;356.9836;0;0;0;0;0;0;0.2850262;0.7469516;-0.4526653;307.3344;352.6513;347.113;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-11.01629;0.07999998;21.12474;0;270;0;0.151354;0.9655403;-0.6629863;34.15739;14.76049;356.9038;0;0;0;0;0;0;0.2844538;0.7461336;-0.4551222;307.6115;352.652;346.8414;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-11.04544;0.07999998;21.12012;0;270;0;0.1505716;0.9660231;-0.6630108;33.86608;14.10517;356.6453;0;0;0;0;0;0;0.2857127;0.745649;-0.4556143;307.6394;353.5052;345.9816;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-11.06194;0.07999998;21.11751;0;270;0;0.1501245;0.9661912;-0.6630485;33.73861;13.76505;356.4863;0;0;0;0;0;0;0.2869275;0.745072;-0.4547382;307.8176;354.1376;345.6279;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-11.07012;0.07999998;21.11621;0;270;0;0.1496353;0.966594;-0.6633215;33.60575;13.49423;356.2934;0;0;0;0;0;0;0.2876356;0.7445758;-0.4547759;307.8688;354.2547;345.5816;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-11.07012;0.07999998;21.11621;0;270;0;0.149511;0.9668896;-0.6633987;33.44105;13.45292;356.2856;0;0;0;0;0;0;0.2887525;0.7448326;-0.4529266;307.8495;354.7083;345.8218;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-11.07012;0.07999998;21.11621;0;270;0;0.1494888;0.9671578;-0.6633275;33.22054;13.46448;356.3348;0;0;0;0;0;0;0.2892632;0.7448589;-0.4555371;307.6296;355.4265;345.8712;;;;;;;;;;;;;;;;;;;;;;;
MW;2022/09/22_20:51:54.363;-11.07012;0.07999998;21.11621;0;270;0;0.1495781;0.9675746;-0.6632824;32.8992;13.3825;356.3124;0;0;0;0;0;0;0.2907618;0.7453606;-0.4551209;307.4845;356.1235;345.6473;;;;;;;;;;;;;;;;;;;;;;;
