StandingFoot;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
Custom;2023/03/06_13:44:32.609;0.02056479;-1.805729;0.8190347;-1.844917;0;-5.960464E-08;0;0;0;0;-1.805727;1.278075;-1.844908;313.4553;154.9485;358.5321;-0.00271222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.04289126;-1.805707;0.8190347;-1.844803;0;-5.960464E-08;0;0;0;0;-1.805707;1.278069;-1.844803;313.4636;154.9471;358.5181;-0.009024225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.06505847;-1.805636;0.8190165;-1.844804;0;-5.960464E-08;0;0;0;0;-1.805636;1.278033;-1.844804;313.451;154.9648;358.5127;0.006673526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.0872848;-1.805627;0.8190178;-1.844808;0;-5.960464E-08;0;0;0;0;-1.805627;1.278036;-1.844808;313.4555;154.9587;358.5191;0.001656326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.1096969;-1.805669;0.8190331;-1.844917;0;-5.960464E-08;0;0;0;0;-1.805669;1.278066;-1.844917;313.4609;154.9618;358.5181;0.00412597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.1316693;-1.805627;0.8190125;-1.844899;0;-5.960464E-08;0;0;0;0;-1.805627;1.278025;-1.844899;313.4584;154.9675;358.5191;-0.00166383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.1541402;-1.805696;0.8190099;-1.844953;0;-5.960464E-08;0;0;0;0;-1.805696;1.27802;-1.844953;313.458;154.9544;358.5238;0.002600113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.1764255;-1.805681;0.819015;-1.844933;0;-5.960464E-08;0;0;0;0;-1.805681;1.27803;-1.844933;313.4507;154.9581;358.5129;-0.004334137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.1984048;-1.80575;0.819018;-1.844941;0;-5.960464E-08;0;0;0;0;-1.80575;1.278036;-1.844941;313.4548;154.9533;358.5143;-0.003706866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.2206919;-1.805749;0.8190012;-1.844947;0;-5.960464E-08;0;0;0;0;-1.805749;1.278003;-1.844947;313.4564;154.9578;358.5115;-0.0008773872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
Custom;2023/03/06_13:44:32.610;0.2429044;-1.805786;0.8189985;-1.844877;0;-5.960464E-08;0;0;0;0;-1.805786;1.277997;-1.844877;313.4582;154.9452;358.5266;-0.005990026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;True;;False;True;False;True;right;right;;0;0;0;
