AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_15:42:49.217;0.01258469;-0.08065397;0.230005;0.9004252;0.1228738;0.01861119;1.191677;0;0;0;-0.2034259;0.04417944;-0.2881372;347.1474;272.5958;0.3290199;0.3064435;0;0;0;0;0;0;0;0;0;0;0;0;0.03130007;0.1336215;0.1052897;272.9716;298.8707;61.7831;0;0.3557914;0.1962531;-0.1685039;277.7705;285.7489;77.19656;0;0;0;0;0;0;0;-107.5398;0;1.872468;0;True;;True;False;True;False;right;right;;0.2804333;0.6266458;0.4950874;
MW;2023/03/06_15:42:49.217;0.03304291;-0.08055216;0.2300051;0.9035394;0.122984;0.01861268;1.194741;0;0;0;-0.2034419;0.04417346;-0.288135;347.1436;272.598;0.3360891;0.3726063;0;0;0;0;0;0;0;0;0;0;0;0;0.03194702;0.1332998;0.107197;274.481;301.3041;59.46915;0.1812635;0.3588821;0.197119;-0.1742022;276.653;286.7024;76.48094;-0.5834277;0;0;0;0;0;0;-107.8195;0;2.060759;0;True;;True;False;True;False;right;right;;0.2759703;0.6244849;0.4793962;
MW;2023/03/06_15:42:49.218;0.05126381;-0.08029073;0.230005;0.9096007;0.123217;0.01866126;1.200817;0;0;0;-0.203299;0.04404777;-0.2883474;347.1499;272.5809;0.3295783;0.3254568;0;0;0;0;0;0;0;0;0;0;0;0;0.03418279;0.1367016;0.1063805;275.6137;356.1233;4.969192;-0.1270164;0.3699443;0.2012558;-0.1873546;277.3873;287.4117;75.63369;-0.6588214;0;0;0;0;0;0;-108.3699;0;2.140226;0;True;;True;False;True;False;right;right;;0.2716171;0.640128;0.4463405;
MW;2023/03/06_15:42:49.218;0.07074642;-0.07996318;0.230005;0.9154788;0.1234716;0.01866168;1.206785;0;0;0;-0.2033079;0.0440291;-0.2883418;347.1422;272.5987;0.3218032;-0.3270823;0;0;0;0;0;0;0;0;0;0;0;0;0.03348279;0.1317298;0.09864497;273.3926;348.2905;13.14963;-0.3259399;0.375861;0.2033365;-0.1985829;277.8087;287.0097;76.33929;-0.5646622;0;0;0;0;0;0;-108.9105;0;2.46729;0;True;;True;False;True;False;left;left;;0.2676354;0.6334025;0.4371393;
MW;2023/03/06_15:42:49.218;0.08833885;-0.07983633;0.2300051;0.918443;0.1235866;0.01865608;1.20977;0;0;0;-0.2032775;0.04405405;-0.2883405;347.1502;272.5955;0.3262087;0.3451353;0;0;0;0;0;0;0;0;0;0;0;0;0.03269267;0.1306813;0.08855486;270.945;348.6556;12.40118;-0.4990459;0.3816715;0.2075491;-0.2108847;277.3033;286.7434;76.5845;-0.6707554;0;0;0;0;0;0;-109.1776;0;2.245459;0;True;;True;False;True;False;left;left;;0.2688762;0.6352701;0.4402346;
MW;2023/03/06_15:42:49.218;0.1065512;-0.07960404;0.230005;0.924624;0.1238473;0.01863354;1.215945;0;0;0;-0.2033274;0.04410359;-0.288236;347.1491;272.5993;0.3289406;-0.3611181;0;0;0;0;0;0;0;0;0;0;0;0;0.03260469;0.1322899;0.08040714;274.6748;345.8521;15.45645;-0.4425476;0.3861927;0.210393;-0.2233583;277.6483;290.1851;73.35347;-0.6384965;0;0;0;0;0;0;-109.7238;0;2.519517;0;True;;True;False;True;False;left;left;;0.2779081;0.6580918;0.4535409;
MW;2023/03/06_15:42:49.218;0.1285257;-0.07937565;0.230005;0.9308605;0.1241002;0.01866031;1.222091;0;0;0;-0.2033224;0.04407502;-0.2881818;347.1399;272.5973;0.3229922;0.2852457;0;0;0;0;0;0;0;0;0;0;0;0;0.03423607;0.1326723;0.07191062;270.807;4.89943;355.9445;-0.1657986;0.3907099;0.2134876;-0.2357785;277.7612;290.8665;72.78753;-0.60301;0;0;0;0;0;0;-110.2797;0;2.322497;0;True;;True;False;True;False;left;left;;0.2746642;0.6519349;0.4467221;
MW;2023/03/06_15:42:49.218;0.1716967;-0.07881884;0.230005;0.9428074;0.1246131;0.01866895;1.233786;0;0;0;-0.2033097;0.04401506;-0.2882438;347.1441;272.6016;0.3223243;-0.266539;0;0;0;0;0;0;0;0;0;0;0;0;0.03394151;0.1311059;0.06382465;272.8503;344.2413;16.79569;0;0.3930534;0.2190764;-0.2497408;278.6993;289.6486;74.24282;0;0;0;0;0;0;0;-111.3597;0;2.560448;0;True;;True;False;True;False;left;left;;0.2463664;0.5870466;0.3984191;
MW;2023/03/06_15:42:49.218;0.1945143;-0.07855938;0.230005;0.9482903;0.1248866;0.01868618;1.23932;0;0;0;-0.2033187;0.04396085;-0.2882677;347.1363;272.5973;0.3200937;0.203842;0;0;0;0;0;0;0;0;0;0;0;0;0.03485537;0.1310093;0.05396223;272.3025;319.4743;41.92097;-0.4051376;0.3966409;0.2275534;-0.2645323;278.8264;290.3532;73.63605;-0.6929706;0;0;0;0;0;0;-111.854;0;2.795229;0;True;;True;False;True;False;left;left;;0.249992;0.596681;0.403287;
MW;2023/03/06_15:42:49.218;0.2131138;-0.07834995;0.230005;0.9538288;0.1251495;0.01865208;1.244797;0;0;0;-0.2034089;0.0440281;-0.2882451;347.1513;272.5946;0.319529;-0.2884875;0;0;0;0;0;0;0;0;0;0;0;0;0.03389907;0.131906;0.04896116;273.3532;328.0021;33.07828;-0.2661611;0.3983047;0.2410047;-0.2770668;279.9737;305.4681;58.68702;-0.4904819;0;0;0;0;0;0;-112.3516;0;2.830797;0;True;;True;False;True;False;left;left;;0.2452788;0.5939125;0.3872026;
