AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/06_16:08:01.088;0.02016735;-0.08216187;0.230005;0.9132725;0.121064;0.01876348;1.204919;0;0;0;-0.2031077;0.04372696;-0.2884562;347.1447;272.5996;0.3087624;0.2957759;0;0;0;0;0;0;0;0;0;0;0;0;0.03328824;0.1340714;0.1022613;273.162;355.5061;5.771917;-0.3793695;0.373081;0.2022548;-0.1929584;277.4924;281.1976;82.28514;-0.5779757;0;0;0;0;0;0;-108.7038;0;2.418071;0;True;;True;False;True;False;right;right;;0.2853773;0.6846362;0.456873;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.05291939;-0.08180456;0.230005;0.9225206;0.1214491;0.01874679;1.213856;0;0;0;-0.2031319;0.04376409;-0.2885081;347.1444;272.6139;0.3165646;0.1657649;0;0;0;0;0;0;0;0;0;0;0;0;0.03348279;0.1317298;0.09864497;273.3926;348.2905;13.14963;0;0.375861;0.2033365;-0.1985829;277.8087;287.0097;76.33929;0;0;0;0;0;0;0;-109.5382;0;2.46729;0;True;;True;False;True;False;left;left;;0.2547225;0.6124703;0.4064195;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.07487392;-0.08153185;0.230005;0.9281524;0.1216705;0.01875705;1.21955;0;0;0;-0.203108;0.04376064;-0.2885431;347.1356;272.5991;0.3135824;0.2148863;0;0;0;0;0;0;0;0;0;0;0;0;0.03269267;0.1306813;0.08855486;270.945;348.6556;12.40118;-0.4347275;0.3816715;0.2075491;-0.2108847;277.3033;286.7434;76.5845;-0.5565857;0;0;0;0;0;0;-110.0487;0;2.245476;0;True;;True;False;True;False;left;left;;0.2561698;0.6124446;0.4122347;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.09340763;-0.0813238;0.2300051;0.9338463;0.1219089;0.01873106;1.225197;0;0;0;-0.2030775;0.04380435;-0.2885572;347.1397;272.5964;0.3113989;0.3214285;0;0;0;0;0;0;0;0;0;0;0;0;0.03260469;0.1322899;0.08040714;274.6748;345.8521;15.45645;-0.4425476;0.3861927;0.210393;-0.2233583;277.6483;290.1851;73.35347;-0.6384965;0;0;0;0;0;0;-110.5579;0;2.519517;0;True;;True;False;True;False;left;left;;0.2547592;0.611054;0.4079827;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.1115971;-0.08104698;0.230005;0.9394979;0.1221422;0.01873499;1.230867;0;0;0;-0.2030218;0.04380722;-0.2885866;347.1509;272.6074;0.3073273;-0.3030613;0;0;0;0;0;0;0;0;0;0;0;0;0.03423607;0.1326723;0.07191062;270.807;4.89943;355.9445;-0.1657986;0.3907099;0.2134876;-0.2357785;277.7612;290.8665;72.78753;-0.60301;0;0;0;0;0;0;-111.0688;0;2.322497;0;True;;True;False;True;False;left;left;;0.2537723;0.6094833;0.4056058;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.1304817;-0.08087961;0.230005;0.9422808;0.1222743;0.01873249;1.233821;0;0;0;-0.203;0.04381008;-0.2885644;347.1509;272.6052;0.3081474;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03394151;0.1311059;0.06382465;272.8503;344.2413;16.79569;-0.7282196;0.3930534;0.2190764;-0.2497408;278.6993;289.6486;74.24282;-1.274184;0;0;0;0;0;0;-111.3221;0;2.560448;0;True;;True;False;True;False;left;left;;0.2661137;0.6427184;0.4217365;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.1492996;-0.08058101;0.230005;0.9482296;0.1225678;0.01873559;1.239762;0;0;0;-0.2030629;0.04379593;-0.2885043;347.1524;272.6113;0.3014661;-0.3364762;0;0;0;0;0;0;0;0;0;0;0;0;0.03485537;0.1310093;0.05396223;272.3025;319.4743;41.92097;-0.4051376;0.3966409;0.2275534;-0.2645323;278.8264;290.3532;73.63605;-0.6929706;0;0;0;0;0;0;-111.855;0;2.795229;0;True;;True;False;True;False;left;left;;0.2678139;0.6469247;0.424331;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.1671362;-0.08038292;0.230005;0.954229;0.1228483;0.0187453;1.245605;0;0;0;-0.2030923;0.04376439;-0.2884871;347.1419;272.6011;0.3137939;0.3432855;0;0;0;0;0;0;0;0;0;0;0;0;0.03389907;0.131906;0.04896116;273.3532;328.0021;33.07828;-0.2661611;0.3983047;0.2410047;-0.2770668;279.9737;305.4681;58.68702;-0.4904819;0;0;0;0;0;0;-112.3873;0;2.830797;0;True;;True;False;True;False;left;left;;0.261363;0.6392574;0.4061948;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.2061119;-0.0799372;0.2300051;0.9626617;0.1233425;0.0187552;1.2537;0;0;0;-0.2031153;0.04373829;-0.2884689;347.1461;272.5988;0.3117105;-0.2519998;0;0;0;0;0;0;0;0;0;0;0;0;0.0349226;0.1325922;0.04549384;271.7268;2.779854;358.1228;0;0.3996484;0.2637343;-0.2790473;284.8577;328.9533;36.58978;0;0;0;0;0;0;0;-113.1462;0;3.661326;0;True;;True;False;True;False;left;left;;0.231773;0.5629855;0.3641065;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.2257528;-0.07951298;0.230005;0.9677044;0.1237019;0.01877642;1.258711;0;0;0;-0.2030446;0.04370525;-0.2884982;347.1362;272.6058;0.3215199;-0.2339001;0;0;0;0;0;0;0;0;0;0;0;0;0.03664136;0.1312799;0.03913283;272.0437;327.9749;33.28465;-0.3586827;0.4029073;0.2806168;-0.2859101;287.8503;341.095;25.0577;-0.3804593;0;0;0;0;0;0;-113.6048;0;4.205974;0;True;;True;False;True;False;left;left;;0.2249901;0.5420591;0.3579014;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
MW;2023/03/06_16:08:01.088;0.2437258;-0.07934275;0.230005;0.9702127;0.1238729;0.01875585;1.261126;0;0;0;-0.2030512;0.04373159;-0.2884869;347.1553;272.6002;0.3100821;-0.2784486;0;0;0;0;0;0;0;0;0;0;0;0;0.03593969;0.1334348;0.03261828;272.49;328.1929;33.20428;-0.21601;0.4055135;0.2982662;-0.2877244;289.9739;343.1958;23.3474;-0.1135544;0;0;0;0;0;0;-113.8297;0;4.205968;0;True;;True;False;True;False;left;left;;0.2178602;0.5206338;0.3508068;System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];System.Collections.Generic.List`1[System.Single];
