StandingFoot;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/09_09:53:19.069;0.009082794;0.7475861;0.230005;0.9058154;0.7475861;0.03333665;0.9058154;0;0;0;0;0;0;0;0;0;-0.5778823;0;0;0;0;0;0;0;0;0;0;0;0;0.1176383;0.1414297;-0.3161319;273.4364;241.2491;26.05144;0;-0.1733281;-0.02168274;-0.1628451;274.0111;63.78123;209.7349;0;0;0;0;0;0;0;-235.5012;0;230.5363;0;True;;False;True;True;True;right;right;;0.6179136;1.256257;1.215398;103.2586;50.53625;-0.2409583;-1.035613;50.53625;230.5363;0;0;270.4583;
MW;2023/03/09_09:53:19.069;0.02657318;0.7306997;0.230005;0.8930385;0.7306997;0.03333665;0.8930385;0;0;0;0;0;0;0;0;0;-0.5894145;0;0;0;0;0;0;0;0;0;0;0;0;0.1242807;0.1414003;-0.3154486;272.6638;207.6384;59.86636;0;-0.001248598;0.1391668;-0.03370798;272.7169;48.93919;224.0357;0;0;0;0;0;0;0;-231.7275;0;232.8873;0;True;;True;True;True;True;right;right;;0.9787591;2.867836;1.0472;92.13239;52.88731;-0.232263;-4.829984;52.88731;232.8873;0;0;270.269;
MW;2023/03/09_09:53:19.069;0.05970764;0.7055354;0.230005;0.8928778;0.7055354;0.03333665;0.8928778;0;0;0;0;0;0;0;0;0;0.8298243;0;0;0;0;0;0;0;0;0;0;0;0;0.1279123;0.1377969;-0.3152225;273.5302;250.8309;16.35979;0;0.0138433;0.1450143;-0.02637911;272.2172;66.56651;206.2395;0;0;0;0;0;0;0;-228.2132;0;255.0996;0;True;;True;True;True;True;left;left;;0.7686284;2.248106;0.826407;75.09964;55.06062;-0.1022635;-1.5799;75.09964;255.0996;0;0;270.0232;
MW;2023/03/09_09:53:19.069;0.0928421;0.6862779;0.230005;0.8806931;0.6862779;0.03333665;0.8806931;0;0;0;0;0;0;0;0;0;-0.8419943;0;0;0;0;0;0;0;0;0;0;0;0;0.1324204;0.1347818;-0.3114409;271.8536;222.8295;44.09451;0;0.007586718;0.1422033;-0.0265367;270.9336;313.7505;318.7715;0;0;0;0;0;0;0;-223.8396;0;234.5142;0;True;;True;True;True;True;left;left;;0.5606331;1.617174;0.6253581;54.51423;46.22178;-0.1265164;-0.2765121;54.51423;234.5142;0;0;269.7289;
MW;2023/03/09_09:53:19.069;0.1259766;0.6731801;0.230005;0.8717623;0.6731801;0.03333665;0.8717623;0;0;0;0;0;0;0;0;0;-0.4697203;0;0;0;0;0;0;0;0;0;0;0;0;0.1382438;0.1348128;-0.3089321;275.0969;263.9892;3.019162;0;0.006307721;0.1455956;-0.02285028;272.9768;285.2632;347.2469;0;0;0;0;0;0;0;-220.6229;0;253.5058;0;True;;True;True;True;True;left;left;;0.4162067;1.164457;0.50037;73.50577;7.649137;-0.137379;-0.09392122;73.50577;253.5058;0;0;269.7606;
MW;2023/03/09_09:53:19.069;0.1594696;0.6623017;0.230005;0.8704177;0.6623017;0.03333665;0.8704177;0;0;0;0;0;0;0;0;0;-0.3497414;0;0;0;0;0;0;0;0;0;0;0;0;0.1447071;0.1277318;-0.3088961;272.9682;248.1882;18.81088;0;0.009801269;0.1445003;-0.0239501;275.0045;268.0019;4.273454;0;0;0;0;0;0;0;-218.9612;0;266.8943;0;True;;True;True;True;True;left;left;;0.3284488;0.8906246;0.4231708;86.89434;79.51006;-0.1708282;-0.07684606;86.89434;266.8943;0;0;269.6537;
MW;2023/03/09_09:53:19.069;0.1922417;0.6514859;0.230005;0.8688068;0.6514859;0.03333665;0.8688068;0;0;0;0;0;0;0;0;0;-0.3877676;0;0;0;0;0;0;0;0;0;0;0;0;0.1558268;0.1290162;-0.306941;272.2349;244.3192;22.49926;0;0.02845025;0.1472981;-0.02683449;276.6506;268.9021;3.862602;0;0;0;0;0;0;0;-217.3947;0;261.869;0;True;;True;True;True;True;left;left;;0.2930764;0.7865906;0.3857151;81.86905;96.2821;-0.2186508;-0.4382882;81.86905;261.869;0;0;269.8033;
MW;2023/03/09_09:53:19.069;0.2090416;0.6470078;0.230005;0.8687447;0.6470078;0.03333665;0.8687447;0;0;0;0;0;0;0;0;0;-0.2804166;0;0;0;0;0;0;0;0;0;0;0;0;0.1638536;0.1310046;-0.3073883;272.9278;247.8066;19.08042;0;0.03445292;0.1484425;-0.02835572;274.4486;257.8015;15.68531;0;0;0;0;0;0;0;-216.8138;0;269.2062;0;True;;True;True;True;True;left;left;;0.2833866;0.7302898;0.4032567;89.20618;99.56753;-0.3163401;-0.3820384;89.20618;269.2062;0;0;270.2183;
MW;2023/03/09_09:53:19.069;0.2421951;0.6375437;0.230005;0.8681542;0.6375437;0.03333665;0.8681542;0;0;0;0;0;0;0;0;0;-0.3461456;0;0;0;0;0;0;0;0;0;0;0;0;0.1769038;0.1326592;-0.3068194;273.0973;266.3521;0.3532253;0;0.04084182;0.1507134;-0.02752972;274.712;280.0621;352.9005;0;0;0;0;0;0;0;-215.562;0;270.9048;0;True;;True;True;True;True;left;left;;0.2435503;0.5834559;0.3907452;90.90479;91.95099;-0.3090795;-0.1218758;90.90479;270.9048;0;0;269.8194;
MW;2023/03/09_09:53:19.069;0.2750778;0.6294795;0.230005;0.8670921;0.6294795;0.03333665;0.8670921;0;0;0;0;0;0;0;0;0;-0.2294153;0;0;0;0;0;0;0;0;0;0;0;0;0.1886606;0.1355422;-0.3042729;271.8857;277.3007;349.1722;0;0.04469061;0.1519842;-0.02959085;274.7428;270.4858;2.105669;0;0;0;0;0;0;0;-214.443;0;260.5535;0;True;;True;True;True;True;left;left;;0.2032277;0.4471266;0.3657842;80.55346;101.4994;-0.2241443;-0.07906956;80.55346;260.5535;0;0;269.5285;
MW;2023/03/09_09:53:19.069;0.3084793;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;-0.1958534;0;0;0;0;0;0;0;0;0;0;0;0;0.2024217;0.1418357;-0.3027632;273.229;260.257;6.254073;0;0.04811835;0.1484401;-0.03065944;275.3931;268.1507;4.063312;0;0;0;0;0;0;0;-213.5997;0;260.6284;0;True;;True;True;True;True;left;left;;0.1904431;0.3781131;0.3836592;80.62842;119.7945;-0.3005117;-0.057544;80.62842;260.6284;0;0;269.3724;
MW;2023/03/09_09:53:19.069;0.3413429;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2085577;0.1459372;-0.3004193;274.2672;275.0194;351.1444;0;0.05422056;0.149884;-0.03227091;275.3282;268.1066;4.02914;0;0;0;0;0;0;0;-213.5997;0;256.738;0;True;;True;True;True;True;left;left;;0.1601166;0.3171188;0.3233478;76.73805;109.7997;-0.1705222;-0.1206303;76.73805;256.738;0;0;269.144;
MW;2023/03/09_09:53:19.069;0.3581657;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2117324;0.14572;-0.3001246;273.5139;280.5521;345.4973;0;0.05434704;0.1489103;-0.02998185;276.0124;269.6743;2.576299;0;0;0;0;0;0;0;-213.5997;0;260.583;0;True;;True;True;True;True;left;left;;0.1496463;0.29258;0.3060053;80.58303;58.44306;-0.1685226;-0.07199603;80.58303;260.583;0;0;269.1382;
MW;2023/03/09_09:53:19.069;0.3910408;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2198797;0.15236;-0.2985984;275.725;261.8354;3.78568;0;0.06270528;0.1470714;-0.03009605;275.941;261.9749;10.19706;0;0;0;0;0;0;0;-213.5997;0;262.3459;0;True;;True;True;True;True;right;right;;0.1385101;0.2734016;0.2806389;79.67904;82.34594;-0.1713883;-0.1402163;82.34594;262.3459;0;0;268.9326;
MW;2023/03/09_09:53:19.069;0.4243698;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2285126;0.1599658;-0.2973317;277.08;266.277;358.8609;0;0.07220888;0.1528275;-0.02982354;274.9855;274.6293;357.7124;0;0;0;0;0;0;0;-213.5997;0;267.8676;0;True;;True;True;True;True;right;right;;0.1408679;0.2838426;0.2796289;80.33809;87.86763;-0.2144378;-0.2510277;87.86763;267.8676;0;0;268.7381;
MW;2023/03/09_09:53:19.069;0.4573097;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2317342;0.1729898;-0.2961447;281.0647;264.435;0.4767857;0;0.07633746;0.1491845;-0.03109622;274.9148;263.8041;8.429364;0;0;0;0;0;0;0;-213.5997;0;284.8223;0;True;;True;True;True;False;right;right;;0.1174149;0.2356165;0.2340429;68.25776;104.8223;-0.07048362;-0.1230099;104.8223;284.8223;0;0;268.6204;
MW;2023/03/09_09:53:19.069;0.4904404;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2377745;0.186368;-0.2969588;285.0621;260.3636;4.460957;0;0.08134031;0.1468873;-0.03274822;275.4652;268.1194;4.294333;0;0;0;0;0;0;0;-213.5997;0;302.5405;0;True;;True;True;True;False;right;right;;0.1086596;0.2236892;0.2109493;92.67531;122.5405;-0.0988334;-0.092626;122.5405;302.5405;0;0;268.7643;
MW;2023/03/09_09:53:19.069;0.5237427;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2379681;0.2012329;-0.2967221;289.759;262.3752;2.562514;0;0.07127547;0.1417239;-0.03416586;274.6598;266.5111;5.898003;0;0;0;0;0;0;0;-213.5997;0;268.0627;0;True;;True;True;True;False;left;left;;0.1036581;0.2556954;0.1589369;88.06271;259.0353;-0.02783657;0.2325995;88.06271;268.0627;0;0;268.8683;
MW;2023/03/09_09:53:19.069;0.5567093;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2384336;0.2172091;-0.2953358;293.6635;262.6107;2.428606;0;0.0706284;0.1421869;-0.03430772;274.785;268.5251;4.042553;0;0;0;0;0;0;0;-213.5997;0;158.6198;0;True;;True;True;True;False;left;left;;0.09173514;0.2246668;0.1422738;338.6198;218.6659;-0.03299082;0.02870859;338.6198;158.6198;0;0;269.076;
MW;2023/03/09_09:53:19.069;0.5737495;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2346865;0.2228911;-0.2940531;295.785;263.6704;1.333768;0;0.07074189;0.1451786;-0.03302908;274.8041;266.0022;6.401481;0;0;0;0;0;0;0;-213.5997;0;115.4425;0;True;;True;True;True;False;left;left;;0.09048371;0.2042088;0.1577261;295.4425;343.5455;-0.1130474;0.02216402;295.4425;115.4425;0;0;268.9732;
MW;2023/03/09_09:53:19.069;0.606411;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2302359;0.2346513;-0.2905054;297.8102;264.2598;0.1919558;0;0.06820166;0.1410458;-0.03451252;274.6599;267.5651;4.912136;0;0;0;0;0;0;0;-213.5997;0;128.533;0;True;;True;True;True;False;left;left;;0.08111751;0.168771;0.1556991;308.533;253.2445;-0.1064156;0.04839938;308.533;128.533;0;0;268.7247;
MW;2023/03/09_09:53:19.069;0.6232185;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2271674;0.2403042;-0.2894335;297.8113;263.236;0.6590636;0;0.06536376;0.1387899;-0.03649008;274.6233;266.555;5.898218;0;0;0;0;0;0;0;-213.5997;0;116.8652;0;True;;True;True;True;False;left;left;;0.08468599;0.1759171;0.1628268;296.8652;239.0615;-0.1358348;0.1123662;296.8652;116.8652;0;0;268.4806;
MW;2023/03/09_09:53:19.069;0.6561089;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2186329;0.2548721;-0.2865155;301.1813;263.9289;359.2497;0;0.06250381;0.1362529;-0.03794551;274.724;267.7858;4.640587;0;0;0;0;0;0;0;-213.5997;0;109.656;0;True;;True;True;True;False;left;left;;0.08341202;0.1489128;0.1847352;289.656;242.6662;-0.1609535;0.07683155;289.656;109.656;0;0;268.1054;
MW;2023/03/09_09:53:19.069;0.6728058;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2142794;0.2627285;-0.2856812;302.1265;264.2281;358.6783;0;0.0825212;0.1451497;-0.03410196;274.7064;268.4989;3.87921;0;0;0;0;0;0;0;-213.5997;0;260.4503;0;True;;True;True;True;False;right;right;;0.127506;0.3116312;0.1983928;284.5526;80.45029;-0.1953224;-0.4842099;80.45029;260.4503;0;0;267.925;
MW;2023/03/09_09:53:19.069;0.7058105;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2054591;0.2779441;-0.2837373;304.3917;263.451;358.8903;0;0.09182298;0.1486475;-0.03254664;274.2787;268.0324;4.255093;0;0;0;0;0;0;0;-213.5997;0;262.1797;0;True;;True;True;True;False;right;right;;0.1258121;0.2921743;0.2110742;282.2239;82.17976;-0.1851051;-0.2359681;82.17976;262.1797;0;0;267.685;
MW;2023/03/09_09:53:19.069;0.738945;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1950433;0.2895164;-0.2820561;305.7962;262.8111;358.7362;0;0.09885943;0.1489811;-0.03249454;274.2731;268.9391;3.177559;0;0;0;0;0;0;0;-213.5997;0;266.5666;0;True;;True;True;True;False;right;right;;0.1297321;0.2749606;0.2439679;280.6758;86.56657;0.2547563;-0.2081914;86.56657;266.5666;0;0;267.2502;
MW;2023/03/09_09:53:19.069;0.7720757;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1867368;0.2939639;-0.2830729;305.7631;261.7129;359.8971;0;0.1001107;0.1462579;-0.03273201;274.2989;268.3291;3.855165;0;0;0;0;0;0;0;-213.5997;0;271.8329;0;True;;True;True;True;False;right;right;;0.1170148;0.2286912;0.2393678;273.3462;91.83285;0.1845315;-0.09902197;91.83285;271.8329;0;0;267.4369;
MW;2023/03/09_09:53:19.069;0.8054199;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.180413;0.2910669;-0.283;303.1731;266.2045;356.2879;0;0.1030442;0.1441381;-0.03432;274.1598;266.1989;5.882311;0;0;0;0;0;0;0;-213.5997;0;293.5149;0;True;;True;True;True;False;right;right;;0.1017418;0.1863143;0.220653;269.0395;113.5149;0.1525712;-0.06441781;113.5149;293.5149;0;0;267.3847;
MW;2023/03/09_09:53:19.069;0.8383865;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1693521;0.2890363;-0.2842206;304.0289;265.2919;358.2167;0;0.101784;0.1440277;-0.03361452;274.1043;267.8623;4.346394;0;0;0;0;0;0;0;-213.5997;0;275.6175;0;True;;True;True;True;False;right;right;;0.1060139;0.1662869;0.2577687;259.8031;95.61752;0.2387128;-0.01214243;95.61752;275.6175;0;0;268.0999;
MW;2023/03/09_09:53:19.069;0.871479;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1619236;0.280045;-0.2859063;297.9997;265.8525;359.009;0;0.1070802;0.1425352;-0.03401029;274.5444;271.1093;0.8916795;0;0;0;0;0;0;0;-213.5997;0;271.7968;0;True;;True;True;True;False;right;right;;0.1005699;0.1605037;0.2417758;257.4321;91.79686;0.1766101;-0.09671923;91.79686;271.7968;0;0;268.5876;
MW;2023/03/09_09:53:19.070;0.904808;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1501834;0.2679536;-0.2894211;293.1372;266.7145;359.7157;0;0.1105231;0.1402164;-0.03446984;274.2643;269.2145;2.911871;0;0;0;0;0;0;0;-213.5997;0;275.5927;0;True;;True;True;True;False;right;right;;0.1073876;0.146426;0.2831244;255.6232;95.59266;0.3027871;-0.08591764;95.59266;275.5927;0;0;269.3861;
MW;2023/03/09_09:53:19.070;0.9377441;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1346818;0.2535288;-0.2944839;290.3179;267.6428;0.2467731;0;0.1230823;0.1423297;-0.03564262;274.5167;269.2645;2.578319;0;0;0;0;0;0;0;-213.5997;0;273.7351;0;True;;True;True;True;False;right;right;;0.133986;0.2037892;0.3321549;252.2523;93.73508;0.3657093;-0.2276783;93.73508;273.7351;0;0;269.9387;
MW;2023/03/09_09:53:19.070;0.9708786;0.6242093;0.230005;0.8665932;0.6242093;0.03333665;0.8665932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1179138;0.2376685;-0.3002687;287.0724;265.7095;3.198765;0;0.1262398;0.1458707;-0.03020239;273.7346;256.509;15.62579;0;0;0;0;0;0;0;-213.5997;0;204.1521;0;True;;True;True;True;False;right;right;;0.154797;0.2449695;0.3742183;251.5436;24.15205;0.3594598;-0.1249175;24.15205;204.1521;0;0;270.6443;
