dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,locomotionPoint_px,locomotionPoint_py,locomotionPoint_pz,locomotionPoint_rx,locomotionPoint_ry,locomotionPoint_rz,
0.0170815,0.01039982,0.1386709,0.04031324,273.7885,75.92552,304.0446,0.1186213,0.1342902,-0.2009755,272.8434,279.8462,99.69397,0,0,0,0,0,0,0,-0.03333665,0,0,19.23219,0,0,0,0,0,0,0,0.3361056,0.03333665,0.5331225,0,0,0,
0.0285987,0.0136776,0.1362882,0.04379082,272.6331,69.68098,309.5922,0.1182594,0.1348259,-0.2058861,272.7157,248.9965,130.838,0,0,0,0,0,0,0,-0.03333665,0,0,18.17966,0,0,0,0,0,0,0,0.3378615,0.03333665,0.5383369,0,0,0,
0.0434571,0.01756179,0.1332064,0.04555655,270.7873,120.1259,258.0894,0.1157813,0.1370625,-0.2090856,272.0988,227.8756,150.9537,0,0,0,0,0,0,0,-0.03333665,0,0,18.59181,0,0,0,0,0,0,0,0.3394769,0.03333665,0.5431461,0,0,0,
0.0232787,0.02141905,0.1303689,0.04739451,271.0187,163.0488,214.2858,0.1137735,0.1374693,-0.2141695,273.5845,303.5575,76.40648,0,0,0,0,0,0,0,-0.03333665,0,0,18.89311,0,0,0,0,0,0,0,0.3410145,0.03333665,0.5476575,0,0,0,
0.0209194,0.02574992,0.1295204,0.0494616,270.9014,197.0892,179.4242,0.1137429,0.1370044,-0.2208307,273.4411,283.5932,96.07747,0,0,0,0,0,0,0,-0.03333665,0,0,17.65226,0,0,0,0,0,0,0,0.341501,0.03333665,0.5491865,0,0,0,
0.0157635,0.02949584,0.1295409,0.05108953,270.5941,223.5875,152.1068,0.1095736,0.1395559,-0.2244331,272.8938,207.3603,171.4954,0,0,0,0,0,0,0,-0.03333665,0,0,18.02908,0,0,0,0,0,0,0,0.3424978,0.03333665,0.552283,0,0,0,
0.0177916,0.03240395,0.1305237,0.05313373,270.8116,286.0503,88.86609,0.1080549,0.1400671,-0.2297251,272.8424,281.9451,97.68642,0,0,0,0,0,0,0,-0.03333665,0,0,17.55517,0,0,0,0,0,0,0,0.3429929,0.03333665,0.553848,0,0,0,
0.0159627,0.03477049,0.133482,0.05393195,272.9377,339.1504,35.15688,0.1089036,0.1381633,-0.2356848,271.978,266.5052,112.4406,0,0,0,0,0,0,0,-0.03333665,0,0,16.19885,0,0,0,0,0,0,0,0.3439166,0.03333665,0.5570056,0,0,0,
0.018908,0.03725064,0.13432,0.05467558,273.8632,342.3508,31.27928,0.1059973,0.1380432,-0.238905,272.2816,253.4082,125.5471,0,0,0,0,0,0,0,-0.03333665,0,0,16.75798,0,0,0,0,0,0,0,0.3448254,0.03333665,0.5600445,0,0,0,
0.0395533,0.03994775,0.1352758,0.05136919,274.5717,354.2279,19.30522,0.1037335,0.1380551,-0.243675,272.4421,294.0406,85.23906,0,0,0,0,0,0,0,-0.03333665,0,0,17.39877,0,0,0,0,0,0,0,0.3461761,0.03333665,0.5644373,0,0,0,
0.0486822,0.04163957,0.1349907,0.04925942,274.6966,25.8491,346.8142,0.1008455,0.1400185,-0.2487371,272.2157,267.15,112.2473,0,0,0,0,0,0,0,-0.03333665,0,0,18.13622,0,0,0,0,0,0,0,0.3478482,0.03333665,0.5697811,0,0,0,
0.0199725,0.04188812,0.1336119,0.04425812,272.7538,54.28119,317.9993,0.09796321,0.140646,-0.2533059,271.7314,295.1707,83.93547,0,0,0,0,0,0,0,-0.03333665,0,0,17.38401,0,0,0,0,0,0,0,0.3486367,0.03333665,0.5723651,0,0,0,
0.0176778,0.04160523,0.1329446,0.04021931,272.7922,7.6212,4.365699,0.09697688,0.140785,-0.2580055,272.0361,294.3438,85.07901,0,0,0,0,0,0,0,-0.03333665,0,0,16.89578,0,0,0,0,0,0,0,0.3494076,0.03333665,0.5749497,0,0,0,
0.0183139,0.04345691,0.1330214,0.03648496,273.0682,357.2544,14.36032,0.09545147,0.1403477,-0.2645187,272.0992,331.5751,47.96336,0,0,0,0,0,0,0,-0.03333665,0,0,16.35805,0,0,0,0,0,0,0,0.3501741,0.03333665,0.5775927,0,0,0,
0.0178772,0.04460263,0.1342089,0.03071165,272.6518,24.05133,347.2968,0.09556508,0.140343,-0.2698848,271.2918,234.2555,144.9809,0,0,0,0,0,0,0,-0.03333665,0,0,15.28193,0,0,0,0,0,0,0,0.3505543,0.03333665,0.5789841,0,0,0,
0.0437286,0.04564667,0.1351712,0.02724719,273.3417,45.4629,325.2553,0.0951581,0.1402266,-0.2738026,270.4652,252.9156,125.9789,0,0,0,0,0,0,0,-0.03333665,0,0,14.47678,0,0,0,0,0,0,0,0.3519405,0.03333665,0.5843108,0,0,0,
0.0258328,0.04675817,0.1347144,0.02394772,273.7368,33.6613,336.8861,0.09393036,0.1430039,-0.2801712,273.0895,5.903205,13.90941,0,0,0,0,0,0,0,-0.03333665,0,0,14.77225,0,0,0,0,0,0,0,0.3526199,0.03333665,0.5868701,0,0,0,
0.0173452,0.04641604,0.1327591,0.01951838,273.6862,18.16671,351.848,0.09457052,0.1459801,-0.2822361,271.1203,168.6136,210.7747,0,0,0,0,0,0,0,-0.03333665,0,0,13.83439,0,0,0,0,0,0,0,0.3532468,0.03333665,0.5893759,0,0,0,
0.0186993,0.04845667,0.1321287,0.01676488,272.4125,359.3683,9.977409,0.09302783,0.1525545,-0.2870815,275.2222,20.79677,358.9907,0,0,0,0,0,0,0,-0.03333665,0,0,14.04604,0,0,0,0,0,0,0,0.3538785,0.03333665,0.5918775,0,0,0,
0.0189194,0.0486728,0.1318855,0.01222205,272.8533,32.76567,336.3987,0.09529603,0.1551073,-0.2895101,276.1752,14.80072,4.796399,0,0,0,0,0,0,0,-0.03333665,0,0,13.34319,0,0,0,0,0,0,0,0.3541813,0.03333665,0.5931543,0,0,0,
0.0163851,0.0485177,0.1322649,0.01069641,272.8912,39.27868,329.3649,0.08852541,0.1657414,-0.2898885,275.1883,17.44216,2.52681,0,0,0,0,0,0,0,-0.03333665,0,0,16.05447,0,0,0,0,0,0,0,0.3549015,0.03333665,0.5957295,0,0,0,
0.0190319,0.0481782,0.1313822,0.00814271,273.262,349.0495,19.31151,0.08736527,0.1728113,-0.2940414,280.1004,13.1807,6.428441,0,0,0,0,0,0,0,-0.03333665,0,0,15.5143,0,0,0,0,0,0,0,0.3555848,0.03333665,0.5982534,0,0,0,
0.0436233,0.04738903,0.1326818,0.006860256,271.949,319.9929,48.39071,0.08736598,0.1774938,-0.297917,281.2868,12.33674,7.9566,0,0,0,0,0,0,0,-0.03333665,0,0,15.30999,0,0,0,0,0,0,0,0.3565383,0.03333665,0.6018102,0,0,0,
0.0192906,0.04712939,0.1341815,0.005616426,272.5576,10.25983,358.7044,0.08511519,0.1873012,-0.2994108,283.1491,15.15021,4.988968,0,0,0,0,0,0,0,-0.03333665,0,0,16.25141,0,0,0,0,0,0,0,0.357159,0.03333665,0.6039982,0,0,0,
0.0198381,0.04490852,0.1337702,0.001986504,273.0485,13.06791,355.7693,0.08337283,0.1945148,-0.3020287,284.88,15.30563,4.949639,0,0,0,0,0,0,0,-0.03333665,0,0,16.59735,0,0,0,0,0,0,0,0.3577881,0.03333665,0.6061783,0,0,0,
