dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,locomotionPoint_px,locomotionPoint_py,locomotionPoint_pz,locomotionPoint_rx,locomotionPoint_ry,locomotionPoint_rz,
0.0111834,-0.08137703,0.1814463,-0.2451444,287.2126,4.348299,0.7448059,0.1562365,0.1339545,-0.09020686,272.5064,251.511,128.9776,0,0,0,0,0,0,0.1815422,5.960464E-08,0.2192038,0,12.97007,0,0,0,0,0,0,0,0.05280484,-5.960464E-08,0.3324787,0,0,0,
0.0113748,-0.08222926,0.1896825,-0.2484862,288.2413,7.179624,358.2713,0.1548567,0.133316,-0.09514654,271.7703,238.6067,140.964,0,0,0,0,0,0,0.1838075,5.960464E-08,0.2192174,0,12.64112,0,0,0,0,0,0,0,0.05336733,-5.960464E-08,0.3349867,0,0,0,
0.0107693,-0.08131135,0.1949263,-0.2460034,290.8891,7.071427,358.4673,0.1518921,0.1323967,-0.09728217,272.4767,237.8637,142.3918,0,0,0,0,0,0,0.1861284,5.960464E-08,0.2191677,0,13.08078,0,0,0,0,0,0,0,0.05394737,-5.960464E-08,0.3374831,0,0,0,
0.0112624,-0.08133221,0.2007346,-0.2482076,291.2356,7.974185,357.4205,0.150975,0.1321385,-0.09753156,272.4799,239.1251,141.1398,0,0,0,0,0,0,0.1880997,5.960464E-08,0.2191377,0,12.9858,0,0,0,0,0,0,0,0.05450319,-5.960464E-08,0.3398933,0,0,0,
0.0109335,-0.08045757,0.2072308,-0.2485182,291.5006,8.089478,357.1129,0.1524103,0.1316829,-0.09723043,272.6949,241.5579,138.6583,0,0,0,0,0,0,0.190051,5.960464E-08,0.2190467,0,12.85826,0,0,0,0,0,0,0,0.05503251,-5.960464E-08,0.3422122,0,0,0,
0.0110565,-0.07944953,0.2155495,-0.2484617,292.4086,8.334135,356.9063,0.150524,0.1315868,-0.09923673,272.8472,240.2524,140.3401,0,0,0,0,0,0,0.1916322,5.960464E-08,0.2189655,0,13.07655,0,0,0,0,0,0,0,0.05556159,-5.960464E-08,0.34449,0,0,0,
0.0111998,-0.07860327,0.2232478,-0.2465651,293.8383,9.04735,356.2307,0.1503828,0.130908,-0.1002163,272.3408,248.8192,131.3737,0,0,0,0,0,0,0.1932215,5.960464E-08,0.2187822,0,12.88704,0,0,0,0,0,0,0,0.05606829,-5.960464E-08,0.3467046,0,0,0,
0.0110689,-0.07726669,0.2325232,-0.245242,295.1637,9.540683,355.8491,0.151297,0.1322937,-0.09704089,272.9531,236.816,143.2436,0,0,0,0,0,0,0.1944932,5.960464E-08,0.2188049,0,12.86171,0,0,0,0,0,0,0,0.05656321,-5.960464E-08,0.3488722,0,0,0,
0.0111174,-0.07626629,0.2407734,-0.2431682,297.0211,9.949001,355.6613,0.1508164,0.1318216,-0.09752309,272.1949,258.1136,122.1081,0,0,0,0,0,0,0.1958802,5.960464E-08,0.21889,0,13.07735,0,0,0,0,0,0,0,0.05705141,-5.960464E-08,0.3509739,0,0,0,
0.0110589,-0.07533622,0.2481518,-0.2409132,297.261,12.13222,353.9116,0.1503021,0.1339209,-0.1008353,272.4692,249.7022,130.5554,0,0,0,0,0,0,0.1969388,5.960464E-08,0.2189976,0,13.19529,0,0,0,0,0,0,0,0.05754529,-5.960464E-08,0.3530803,0,0,0,
0.0111167,-0.07453251,0.2556796,-0.2385433,297.6484,13.34519,353.1586,0.1489735,0.1334834,-0.1058614,272.6971,238.7162,141.4062,0,0,0,0,0,0,0.197729,5.960464E-08,0.2192228,0,13.29227,0,0,0,0,0,0,0,0.05805491,-5.960464E-08,0.3552375,0,0,0,
0.0111392,-0.07378852,0.261174,-0.2355206,298.2139,14.01957,353.289,0.1484723,0.1334527,-0.1069117,272.477,251.5152,128.7204,0,0,0,0,0,0,0.198544,5.960464E-08,0.2193594,0,13.74133,0,0,0,0,0,0,0,0.0585712,-5.960464E-08,0.3573488,0,0,0,
0.0111786,-0.07329559,0.2659006,-0.2316943,298.1816,15.43242,352.7962,0.1491482,0.1329188,-0.1073475,272.5706,242.7178,137.4483,0,0,0,0,0,0,0.1989544,5.960464E-08,0.2196549,0,14.10273,0,0,0,0,0,0,0,0.05908976,-5.960464E-08,0.3594129,0,0,0,
0.0111032,-0.07332456,0.2707996,-0.2260647,297.7945,16.24685,352.9796,0.1486791,0.133302,-0.1071343,272.5536,244.2812,135.76,0,0,0,0,0,0,0.1994813,5.960464E-08,0.2197852,0,14.51887,0,0,0,0,0,0,0,0.05961527,-5.960464E-08,0.3614421,0,0,0,
0.0110693,-0.07212114,0.2753069,-0.2179425,300.0806,14.83518,355.2383,0.1480327,0.1334522,-0.1087959,272.6404,248.1894,132.0064,0,0,0,0,0,0,0.1997475,5.960464E-08,0.2198071,0,15.13875,0,0,0,0,0,0,0,0.06017365,-5.960464E-08,0.363506,0,0,0,
0.0111104,-0.07140756,0.2794948,-0.2127784,302.1047,15.44155,355.6202,0.1469806,0.133327,-0.1107286,272.5124,249.0528,131.0099,0,0,0,0,0,0,0.2000544,5.960464E-08,0.2197217,0,15.55642,0,0,0,0,0,0,0,0.06075029,-5.960464E-08,0.3655774,0,0,0,
0.0111432,-0.07162488,0.279258,-0.2087923,299.8355,14.31676,357.705,0.1469982,0.1333227,-0.1127892,272.5592,245.6809,134.2619,0,0,0,0,0,0,0.2001256,5.960464E-08,0.2195593,0,16.08436,0,0,0,0,0,0,0,0.06134431,-5.960464E-08,0.3676375,0,0,0,
0.0111177,-0.07131505,0.2816806,-0.2039208,299.4424,14.07305,358.7412,0.1456895,0.1332462,-0.1147938,272.854,249.0659,131.1606,0,0,0,0,0,0,0.2001449,5.960464E-08,0.2196613,0,16.66972,0,0,0,0,0,0,0,0.0619625,-5.960464E-08,0.369702,0,0,0,
0.0110125,-0.07111716,0.2802072,-0.1985499,297.6451,13.08528,0.5527015,0.1459713,0.1333947,-0.1176555,272.7005,252.5997,127.5796,0,0,0,0,0,0,0.2000586,5.960464E-08,0.2196861,0,17.12334,0,0,0,0,0,0,0,0.06260617,-5.960464E-08,0.3717913,0,0,0,
0.0110385,-0.06977022,0.2791579,-0.190534,296.4972,12.4505,1.901324,0.1429839,0.1333597,-0.120374,273.0036,245.9846,134.1513,0,0,0,0,0,0,0.1999037,5.960464E-08,0.2198726,0,17.48774,0,0,0,0,0,0,0,0.06328891,-5.960464E-08,0.3739583,0,0,0,
0.011134,-0.06796587,0.2767529,-0.1820407,296.8797,13.1245,2.062458,0.1438341,0.1336427,-0.1225667,273.179,257.2553,123.0503,0,0,0,0,0,0,0.1997422,5.960464E-08,0.2200926,0,17.98811,0,0,0,0,0,0,0,0.06400599,-5.960464E-08,0.3761668,0,0,0,
0.0111427,-0.06668878,0.2723305,-0.1746171,297.1088,11.71738,3.859815,0.1434947,0.1327171,-0.1252367,273.0217,249.8975,130.289,0,0,0,0,0,0,0.1995629,5.960464E-08,0.2204318,0,18.21739,0,0,0,0,0,0,0,0.06474604,-5.960464E-08,0.3784154,0,0,0,
0.0111262,-0.06460142,0.268857,-0.1671139,295.0524,12.16883,4.063972,0.1411083,0.1331081,-0.1282797,272.4422,249.0724,130.8414,0,0,0,0,0,0,0.1994776,5.960464E-08,0.2208693,0,18.3497,0,0,0,0,0,0,0,0.06551434,-5.960464E-08,0.3807318,0,0,0,
0.011133,-0.06263769,0.2642486,-0.1579139,293.7485,12.24428,4.28563,0.1407315,0.1324437,-0.1299471,272.6433,258.9923,120.9674,0,0,0,0,0,0,0.1992647,5.960464E-08,0.221245,0,18.49465,0,0,0,0,0,0,0,0.06630065,-5.960464E-08,0.3830825,0,0,0,
0.0111008,-0.06012189,0.2606215,-0.1496308,293.1325,12.08107,4.841736,0.1399877,0.1321139,-0.1331339,273.0554,243.167,136.9498,0,0,0,0,0,0,0.1992434,5.960464E-08,0.2216847,0,18.76625,0,0,0,0,0,0,0,0.06711932,-5.960464E-08,0.385492,0,0,0,
0.011127,-0.05737829,0.2541108,-0.1403401,292.1952,12.09378,5.11779,0.1392738,0.1326144,-0.1346514,272.0995,255.2931,124.7182,0,0,0,0,0,0,0.199085,5.960464E-08,0.2219767,0,18.85116,0,0,0,0,0,0,0,0.06795307,-5.960464E-08,0.3879339,0,0,0,
