StandingFoot;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/23_11:52:01.867;0.02297974;0.5152788;0.9908571;0.5875425;0.7270818;-4.470348E-08;0.4068317;0;0;0;-0.212542;1.621714;0.1843268;44.74913;338.4671;355.7346;0.3186888;0;0;0;0;0;0;0.001433611;0.3208432;-0.1230807;279.7521;4.341017;344.327;-0.2296293;0.2373668;-0.1946263;271.5551;148.3421;196.5345;0;0.001433611;0.3208432;-0.1230807;279.7521;4.341017;344.327;0;0;0;0;0;0;0;-74.88443;0;348.4498;0;True;;True;False;True;False;right;none;;0.3321686;0.7316652;0.3312744;168.3533;339.9204;-0.1957658;0.8131993;0;348.4498;0;338.4671;346.6543;
MW;2023/03/23_11:52:01.867;0.04443359;0.5145398;0.9908571;0.5911585;0.7262475;-4.470348E-08;0.4108313;0;0;0;-0.2111692;1.622437;0.1884748;44.3232;338.4288;355.5001;0;0;0;0;0;0;0;-0.006532788;0.2963843;-0.09779298;275.1614;37.19958;311.1342;-0.22654;0.2363862;-0.2047409;271.4747;146.5404;197.9558;-0.9518238;-0.006532788;0.2963843;-0.09779298;275.1614;37.19958;311.1342;2.386161;0;0;0;0;0;0;-74.98463;0;348.2185;0;True;;True;False;True;False;right;none;;0.3677163;0.81439;0.3623019;166.4817;340.558;-0.2711035;0.9703112;0;348.2185;0;338.4288;346.3588;
MW;2023/03/23_11:52:01.867;0.06692505;0.5141254;0.9913999;0.6095344;0.7237123;-4.470348E-08;0.4227228;0;0;0;-0.2097167;1.623056;0.1928094;43.52487;338.4497;355.2289;1.257721;0;0;0;0;0;0;-0.01663649;0.2753993;-0.07378173;274.6107;94.84043;253.045;-0.2239038;0.2379007;-0.2132263;271.8307;146.8021;197.9091;-0.3162772;-0.01663649;0.2753993;-0.07378173;274.6107;94.84043;253.045;1.174493;0;0;0;0;0;0;-75.31879;0;347.9372;0;True;;True;False;True;False;right;none;;0.3621423;0.8097652;0.3490903;165.1567;339.7913;-0.2680199;0.9193044;0;347.9372;0;338.4497;346.3287;
MW;2023/03/23_11:52:01.867;0.08938599;0.514886;0.9917623;0.6239111;0.7219483;-4.470348E-08;0.4311399;0;0;0;-0.2079217;1.623525;0.1968718;42.58638;338.6135;355.1631;0;0;0;0;0;0;0;-0.0257051;0.2587872;-0.05142272;275.5062;125.0842;222.9475;-0.2207775;0.237322;-0.2263403;271.6776;155.9682;188.6712;0;-0.0257051;0.2587872;-0.05142272;275.5062;125.0842;222.9475;0;0;0;0;0;0;0;-75.55785;0;348.1638;0;True;;True;False;True;False;right;none;;0.3770775;0.8339607;0.3726873;165.6368;339.4029;-0.3262732;0.9399919;0;348.1638;0;338.6135;346.4016;
MW;2023/03/23_11:52:01.867;0.111145;0.5141472;0.9917011;0.6339661;0.7203635;-4.470348E-08;0.4394217;0;0;0;-0.205971;1.623001;0.2002949;41.39845;338.8988;355.2938;0.3932266;0;0;0;0;0;0;-0.03069782;0.2484832;-0.03670859;277.3625;117.97;231.4753;-0.2170452;0.2376498;-0.2392638;271.7629;162.9861;181.7211;-0.6407053;-0.03069782;0.2484832;-0.03670859;277.3625;117.97;231.4753;0.6635056;0;0;0;0;0;0;-75.80711;0;349.6762;0;True;;True;False;True;False;right;none;;0.380177;0.8207372;0.3958291;165.2104;339.6731;-0.3795875;0.8938295;0;349.6762;0;338.8988;347.1888;
MW;2023/03/23_11:52:01.867;0.1334229;0.515793;0.9909524;0.6467239;0.7189664;-4.470348E-08;0.4479175;0;0;0;-0.2038541;1.621905;0.2029454;40.3485;339.1958;355.4369;0;0;0;0;0;0;0;-0.03461528;0.2397627;-0.02834404;279.679;115.5221;234.7534;-0.2124972;0.2374153;-0.2551388;271.2712;192.8939;152.2287;0;-0.03461528;0.2397627;-0.02834404;279.679;115.5221;234.7534;0;0;0;0;0;0;0;-76.09293;0;350.6617;0;True;;True;False;True;False;right;none;;0.3775102;0.7802012;0.4278315;164.8476;339.2269;-0.4412057;0.7985826;0;350.6617;0;339.1958;347.883;
MW;2023/03/23_11:52:01.867;0.1551819;0.5151123;0.9909524;0.6508629;0.7183398;-1.043081E-07;0.4520525;0;0;0;-0.2015102;1.620707;0.2053797;39.67853;339.5457;355.5658;0;0;0;0;0;0;0;-0.03635538;0.2325845;-0.02508187;279.2191;123.0467;227.9663;-0.2131673;0.238482;-0.264052;271.6398;143.6346;200.8557;-0.8044587;-0.03635538;0.2325845;-0.02508187;279.2191;123.0467;227.9663;0.3327523;0;0;0;0;0;0;-76.23711;0;351.3832;0;True;;True;False;True;False;right;none;;0.3764036;0.7578288;0.4466628;168.0896;338.9045;-0.4736975;0.7517415;0;351.3832;0;339.5457;347.9313;
MW;2023/03/23_11:52:01.867;0.1779175;0.5169196;0.9901038;0.6666139;0.7166611;-4.470348E-08;0.4637581;0;0;0;-0.198979;1.619664;0.2080749;39.04593;340.0244;355.7409;1.009218;0;0;0;0;0;0;-0.03638303;0.2266862;-0.0255338;278.4451;133.9328;217.7765;-0.2114552;0.2368941;-0.2763929;271.4447;211.8526;133.752;-0.6658341;-0.03638303;0.2266862;-0.0255338;278.4451;133.9328;217.7765;-0.1500671;0;0;0;0;0;0;-76.68128;0;352.0123;0;True;;True;False;True;False;right;none;;0.3454418;0.6635481;0.4418656;169.6297;338.9643;-0.4474007;0.5429298;0;352.0123;0;340.0245;348.7932;
MW;2023/03/23_11:52:01.867;0.2002563;0.5185142;0.9894478;0.6771909;0.715521;-4.470348E-08;0.4714339;0;0;0;-0.196255;1.618154;0.2111386;38.35078;340.4591;356.0611;0.4721642;0;0;0;0;0;0;-0.03921843;0.2327902;-0.02812254;273.1657;214.6082;136.1714;-0.2062767;0.2379483;-0.289131;271.198;166.9656;178.267;-0.5475757;-0.03921843;0.2327902;-0.02812254;273.1657;214.6082;136.1714;-0.5549466;0;0;0;0;0;0;-76.97601;0;350.736;0;True;;True;False;True;False;right;none;;0.3491172;0.6565428;0.4606321;166.9511;335.2658;-0.477423;0.4240182;0;350.736;0;340.4591;347.9833;
MW;2023/03/23_11:52:01.867;0.222168;0.5192661;0.9890767;0.6825725;0.7150327;-4.470348E-08;0.4754812;0;0;0;-0.193357;1.61715;0.2141001;37.7243;340.8448;356.3229;0;0;0;0;0;0;0;-0.043607;0.2382156;-0.02097774;274.4955;17.2436;335.9426;-0.1999171;0.2388999;-0.3045441;270.5798;135.0144;209.6814;-1.500617;-0.043607;0.2382156;-0.02097774;274.4955;17.2436;335.9426;0.754648;0;0;0;0;0;0;-77.11799;0;353.1204;0;True;;True;False;True;False;right;none;;0.3668998;0.6614481;0.5126313;164.5289;334.1404;-0.5782557;0.4566345;0;353.1204;0;340.8448;348.9034;
MW;2023/03/23_11:52:01.867;0.2443237;0.5228147;0.988452;0.6950972;0.7141933;-4.470348E-08;0.48351;0;0;0;-0.1901657;1.617207;0.2172039;37.20605;341.3381;356.8079;1.15192;0;0;0;0;0;0;-0.04150462;0.2309896;-0.03398776;272.928;190.3217;163.9907;-0.1960068;0.2411844;-0.3216556;270.4567;203.4717;141.4808;0;-0.04150462;0.2309896;-0.03398776;272.928;190.3217;163.9907;0;0;0;0;0;0;0;-77.45602;0;354.0315;0;True;;True;False;True;False;right;none;;0.3539473;0.6476274;0.4850042;166.9868;325.579;-0.5052461;0.2871046;0;354.0315;0;341.1074;348.9191;
MW;2023/03/23_11:52:01.867;0.2668457;0.5243059;0.9889035;0.7108982;0.712293;-4.470348E-08;0.4960304;0;0;0;-0.18691;1.618752;0.2209369;36.55247;341.6265;357.4463;1.054596;0;0;0;0;0;0;-0.03574908;0.2324654;-0.06242883;272.1306;156.6244;196.1654;-0.1962444;0.2430601;-0.3316613;270.5862;280.0977;65.05743;-0.4073257;-0.03574908;0.2324654;-0.06242883;272.1306;156.6244;196.1654;-0.7829239;0;0;0;0;0;0;-77.94656;0;352.8003;0;True;;True;False;True;False;right;none;;0.3733713;0.6838042;0.5109839;167.2885;223.9112;-0.5407327;-0.07918518;0;352.8003;0;341.6265;348.9771;
MW;2023/03/23_11:52:01.867;0.2886047;0.525383;0.9893758;0.7169673;0.7117361;-4.470348E-08;0.5001134;0;0;0;-0.1835361;1.620993;0.2247708;35.76939;341.8933;357.6318;0.5521035;0;0;0;0;0;0;-0.03022671;0.2352271;-0.06235027;271.2975;105.1509;247.5338;-0.1895094;0.2501273;-0.347533;272.4858;36.40099;307.517;-0.9293753;-0.03022671;0.2352271;-0.06235027;271.2975;105.1509;247.5338;-0.1050742;0;0;0;0;0;0;-78.11914;0;352.2333;0;True;;True;False;True;False;right;none;;0.370866;0.6548677;0.5319034;166.8089;216.5506;-0.5794906;-0.06547885;0;352.2333;0;341.7458;348.2966;
MW;2023/03/23_11:52:01.867;0.3111572;0.5302922;0.9919275;0.7368788;0.7101313;-4.470348E-08;0.5124887;0;0;0;-0.1803503;1.623855;0.228363;35.17836;342.1708;357.7198;0.5358685;0;0;0;0;0;0;-0.02741015;0.2343864;-0.06977797;271.3806;95.91016;256.7542;-0.1836839;0.262664;-0.3619907;274.3651;18.42001;324.9968;0;-0.02741015;0.2343864;-0.06977797;271.3806;95.91016;256.7542;0;0;0;0;0;0;0;-78.64584;0;352.668;0;True;;True;False;True;False;right;none;;0.3605019;0.6036654;0.5499408;163.1618;164.6076;-0.5903698;-0.09654491;0;352.668;0;342.1708;348.0078;
MW;2023/03/23_11:52:01.867;0.3332825;0.529781;0.9919275;0.7408516;0.7096192;-1.043081E-07;0.5165412;0;0;0;-0.1772965;1.627053;0.2319965;34.61823;342.2605;357.9228;0;0;0;0;0;0;0;-0.02409446;0.2355652;-0.08007383;270.7533;98.5443;254.2522;-0.1803681;0.2803723;-0.3682374;279.6018;356.1374;347.8649;-0.6364957;-0.02409446;0.2355652;-0.08007383;270.7533;98.5443;254.2522;-0.9734933;0;0;0;0;0;0;-78.81715;0;352.7979;0;True;;True;False;True;False;right;none;;0.3676329;0.6221568;0.5542685;161.9773;163.3087;-0.593914;-0.1841975;0;352.7979;0;342.2605;348.3467;
MW;2023/03/23_11:52:01.867;0.3554688;0.5329769;0.994422;0.7543178;0.7085436;-1.043081E-07;0.524552;0;0;0;-0.1749869;1.630692;0.235407;34.11901;342.2951;357.8571;0.750236;0;0;0;0;0;0;-0.02148402;0.2363001;-0.09150887;270.4006;115.2685;237.3531;-0.1781336;0.2989122;-0.3767362;284.174;349.4658;353.4066;-0.3268274;-0.02148402;0.2363001;-0.09150887;270.4006;115.2685;237.3531;-0.3737169;0;0;0;0;0;0;-79.16782;0;352.6223;0;True;;True;False;True;False;right;none;;0.3600095;0.6132486;0.5387818;162.38;164.6425;-0.5554094;-0.2477528;0;352.6223;0;342.2951;347.7209;
