dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,
0.0109062,0.219722,0.141037,-0.4857744,272.5883,358.3044,6.080757,0.3970295,0.1374276,-0.530214,273.0828,210.3635,168.1514,0,0,0,0,0,0,0.3606123,7.450581E-08,-0.2196168,0,355.1304,0,0,0,0,0,0,0,
0.0110924,0.2197194,0.1410353,-0.4857682,272.5874,358.3038,6.084972,0.3970591,0.1373134,-0.5303093,273.0831,210.241,168.2701,0,0,0,0,0,0,0.3606254,7.450581E-08,-0.2197241,0,355.1201,0,0,0,0,0,0,0,
0.0114777,0.219916,0.1408796,-0.4857103,272.59,358.3648,6.014268,0.3970829,0.1372941,-0.530375,273.0894,210.2372,168.2759,0,0,0,0,0,0,0.3606638,7.450581E-08,-0.2198328,0,355.1032,0,0,0,0,0,0,0,
0.0274164,0.2201366,0.14062,-0.4858625,272.5876,358.4321,5.950897,0.3971131,0.1373017,-0.5303662,273.0862,210.2397,168.269,0,0,0,0,0,0,0.3606345,7.450581E-08,-0.2199476,0,355.1176,0,0,0,0,0,0,0,
0.0055686,0.2202194,0.1406059,-0.4859312,272.5871,358.4951,5.883463,0.3972048,0.1372061,-0.5305117,273.0914,210.3942,168.1197,0,0,0,0,0,0,0.360669,7.450581E-08,-0.2200399,0,355.1199,0,0,0,0,0,0,0,
0.005115,0.2202194,0.1406059,-0.4859312,272.5871,358.4951,5.883463,0.3972048,0.1372061,-0.5305117,273.0914,210.3942,168.1197,0,0,0,0,0,0,0.360669,7.450581E-08,-0.2200399,0,355.1199,0,0,0,0,0,0,0,
0.0061415,0.2203023,0.1404738,-0.4857539,272.5853,358.3377,6.04147,0.3971376,0.1372867,-0.530478,273.0912,210.3276,168.1792,0,0,0,0,0,0,0.3606601,7.450581E-08,-0.2202478,0,355.116,0,0,0,0,0,0,0,
0.0109155,0.2203311,0.1404417,-0.4857591,272.5815,358.3827,5.994036,0.3970886,0.137213,-0.5304691,273.0886,210.4566,168.0532,0,0,0,0,0,0,0.3606514,7.450581E-08,-0.2203315,0,355.088,0,0,0,0,0,0,0,
0.0112029,0.2202675,0.1405871,-0.4856024,272.5982,358.4214,5.960096,0.3970976,0.1371858,-0.5304869,273.0891,210.522,167.9876,0,0,0,0,0,0,0.3606036,7.450581E-08,-0.2204182,0,355.082,0,0,0,0,0,0,0,
0.0112444,0.2203034,0.1405842,-0.485575,272.5944,358.2561,6.127645,0.3971194,0.1373,-0.5303067,273.0872,210.6347,167.8736,0,0,0,0,0,0,0.3606119,7.450581E-08,-0.2204781,0,355.0696,0,0,0,0,0,0,0,
0.0108642,0.2203324,0.1404669,-0.4855028,272.5909,358.2608,6.121394,0.3971238,0.1373005,-0.5302898,273.078,210.541,167.966,0,0,0,0,0,0,0.3606477,7.450581E-08,-0.2204765,0,355.0773,0,0,0,0,0,0,0,
0.0111724,0.2206073,0.1400952,-0.4856004,272.5847,358.2362,6.141636,0.3970721,0.1373084,-0.5303026,273.0803,210.7747,167.7264,0,0,0,0,0,0,0.3606986,7.450581E-08,-0.2205525,0,355.0851,0,0,0,0,0,0,0,
0.0111455,0.2206522,0.1400616,-0.4856005,272.5822,358.274,6.099072,0.3970555,0.1373904,-0.53022,273.0774,210.7617,167.7464,0,0,0,0,0,0,0.3607245,7.450581E-08,-0.220627,0,355.0981,0,0,0,0,0,0,0,
0.0113549,0.2205799,0.1400678,-0.4856676,272.5855,358.4522,5.928407,0.3970358,0.1372421,-0.5303495,273.0774,210.6626,167.8504,0,0,0,0,0,0,0.3607058,7.450581E-08,-0.2206827,0,355.1211,0,0,0,0,0,0,0,
0.0107309,0.220619,0.1400263,-0.485675,272.5837,358.3517,6.031179,0.3970362,0.1372218,-0.5303386,273.0817,210.6398,167.8739,0,0,0,0,0,0,0.3607594,7.450581E-08,-0.2207334,0,355.1573,0,0,0,0,0,0,0,
0.0112524,0.2204883,0.1401474,-0.4856948,272.587,358.3789,6.001196,0.3970459,0.1373131,-0.5303903,273.082,210.5566,167.9495,0,0,0,0,0,0,0.3608037,7.450581E-08,-0.2208157,0,355.1933,0,0,0,0,0,0,0,
0.011241,0.220502,0.140214,-0.4855373,272.5941,358.2553,6.123283,0.3970195,0.1374273,-0.5304563,273.0781,210.5739,167.9415,0,0,0,0,0,0,0.3608036,7.450581E-08,-0.2209374,0,355.2136,0,0,0,0,0,0,0,
0.0276184,0.2205253,0.1401968,-0.4855099,272.5894,358.2432,6.139775,0.3970184,0.1374264,-0.5304705,273.0824,210.5977,167.9185,0,0,0,0,0,0,0.3608334,7.450581E-08,-0.2210105,0,355.2529,0,0,0,0,0,0,0,
0.0056008,0.2205678,0.1402261,-0.4853619,272.6069,358.1075,6.271039,0.3970298,0.1374342,-0.5304505,273.0844,210.5693,167.9468,0,0,0,0,0,0,0.3609136,7.450581E-08,-0.2210553,0,355.2691,0,0,0,0,0,0,0,
0.0052394,0.2205678,0.1402261,-0.4853619,272.6069,358.1075,6.271039,0.3970298,0.1374342,-0.5304505,273.0844,210.5693,167.9468,0,0,0,0,0,0,0.3609136,7.450581E-08,-0.2210553,0,355.2691,0,0,0,0,0,0,0,
