dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,locomotionPoint_px,locomotionPoint_py,locomotionPoint_pz,locomotionPoint_rx,locomotionPoint_ry,locomotionPoint_rz,
0.0111122,-0.1767488,0.2492163,-0.1396897,294.7505,155.9037,3.881687,-0.3484097,0.1034088,-0.2671463,272.0183,1.528409,167.439,0,0,0,0,0,0,-0.203002,5.960464E-08,-0.6052933,0,132.8407,0,-0.203002,1.518385,-0.6052932,31.78359,151.2905,356.4334,4.608923,-5.960464E-08,-7.557425,0,0,0,
0.0112301,-0.1719986,0.2412133,-0.1485944,293.2375,154.859,5.106941,-0.3503066,0.1071343,-0.2641666,273.4063,22.73825,146.1921,0,0,0,0,0,0,-0.2023191,5.960464E-08,-0.6058626,0,135.5727,0,-0.2023193,1.518591,-0.6058623,31.72107,151.2654,356.4376,4.61102,-5.960464E-08,-7.559565,0,0,0,
0.0110992,-0.1644271,0.2334864,-0.1586194,291.6035,153.7829,6.405984,-0.3532888,0.1123939,-0.2674465,274.3705,8.531319,161.0641,0,0,0,0,0,0,-0.2015309,5.960464E-08,-0.6064587,0,136.0468,0,-0.2015309,1.518834,-0.6064584,31.65006,151.2543,356.4878,4.61318,-5.960464E-08,-7.561805,0,0,0,
0.0110008,-0.1590475,0.2236559,-0.1689754,290.0635,153.2814,7.260822,-0.3514974,0.1094496,-0.2640886,274.3453,5.487844,163.7673,0,0,0,0,0,0,-0.2007604,5.960464E-08,-0.6072588,0,138.1388,0,-0.2007605,1.519308,-0.6072586,31.57924,151.2198,356.5058,4.61534,-5.960464E-08,-7.564216,0,0,0,
0.0111178,-0.1518139,0.2167199,-0.1781306,288.4865,152.8626,8.012392,-0.3547549,0.1125567,-0.2630026,273.2699,341.4607,187.4717,0,0,0,0,0,0,-0.1997414,5.960464E-08,-0.6079588,0,138.9317,0,-0.1997415,1.51958,-0.6079583,31.46118,151.2012,356.5155,4.617546,-5.960464E-08,-7.566747,0,0,0,
0.0111688,-0.1455712,0.207083,-0.1900082,287.0235,153.1366,8.29151,-0.3546737,0.1086731,-0.2563615,272.0394,55.15773,113.5768,0,0,0,0,0,0,-0.1986265,5.960464E-08,-0.6087484,0,140.847,0,-0.1986267,1.519756,-0.6087483,31.30067,151.1911,356.5007,4.619818,-5.960464E-08,-7.569537,0,0,0,
0.0110309,-0.139093,0.1972992,-0.2011924,285.6476,154.0023,8.020734,-0.3523505,0.1047521,-0.2455401,274.317,36.08105,133.4514,0,0,0,0,0,0,-0.1973743,5.960464E-08,-0.6095495,0,143.9176,0,-0.1973743,1.519876,-0.6095493,31.17406,151.1858,356.4893,4.622139,-5.960464E-08,-7.572722,0,0,0,
0.0112013,-0.1319553,0.1886251,-0.2131333,284.1518,155.4559,7.248038,-0.350799,0.1089859,-0.2492626,273.2693,346.8842,181.9945,0,0,0,0,0,0,-0.1960177,5.960464E-08,-0.6103601,0,146.9749,0,-0.1960177,1.519782,-0.61036,31.04929,151.1971,356.4733,4.624299,-5.960464E-08,-7.576045,0,0,0,
0.0111724,-0.1259149,0.1812673,-0.2235994,282.761,157.8229,5.510361,-0.3530728,0.1011636,-0.2442019,271.9272,93.60379,75.54626,0,0,0,0,0,0,-0.1946821,5.960464E-08,-0.6111441,0,149.2926,0,-0.1946823,1.519707,-0.6111443,30.97122,151.2253,356.4551,4.626406,-5.960464E-08,-7.579593,0,0,0,
0.0109345,-0.1194692,0.1724322,-0.2354732,281.4679,160.6733,3.360591,-0.354079,0.1081569,-0.2456639,271.8754,50.45325,118.6493,0,0,0,0,0,0,-0.1931696,5.960464E-08,-0.6120338,0,151.0207,0,-0.1931695,1.519523,-0.6120343,30.91258,151.2665,356.4577,4.628415,-5.960464E-08,-7.583221,0,0,0,
