dt,RightFoot_px,RightFoot_py,RightFoot_pz,RightFoot_rx,RightFoot_ry,RightFoot_rz,LeftFoot_px,LeftFoot_py,LeftFoot_pz,LeftFoot_rx,LeftFoot_ry,LeftFoot_rz,
0.0458561,1.343956,0.1097462,-0.04325569,359.9409,92.84894,90.5264,1.377655,0.1057419,0.1044779,1.185703,81.61095,88.04983,
0.0332084,1.343811,0.1096672,-0.04316485,359.8619,92.84257,90.5852,1.377839,0.1056849,0.1044986,1.234287,81.63341,88.21021,
0.0328237,1.343789,0.1095136,-0.0432092,359.8652,92.827,90.59772,1.37761,0.1058643,0.1043588,1.28697,81.62824,88.38786,
0.0217232,1.343626,0.1095215,-0.04317605,359.8234,92.83617,90.62498,1.377515,0.1060202,0.1043848,1.328493,81.61945,88.44248,
0.0341349,1.34364,0.109559,-0.04330564,359.8729,92.79581,90.61108,1.377558,0.106024,0.1044352,1.310457,81.60209,88.3535,
0.0329378,1.343753,0.109542,-0.04366565,359.9182,92.802,90.58573,1.377451,0.1059312,0.1036794,1.571839,81.4424,88.52187,
0.0225406,1.343653,0.1096296,-0.04344928,359.9356,92.78773,90.59159,1.377711,0.106626,0.1045854,1.468476,81.60934,88.47843,
0.021695,1.343508,0.1096091,-0.04336321,359.9343,92.78565,90.59663,1.377496,0.1064063,0.1048872,2.088022,81.55685,88.55832,
0.0213436,1.343561,0.1095641,-0.04340756,359.9425,92.77892,90.58752,1.377618,0.1061261,0.1047769,1.463633,81.54079,88.56738,
0.0229019,1.343654,0.1095133,-0.04344904,359.9656,92.76292,90.56937,1.377402,0.1062634,0.1046143,1.370883,81.56946,88.54093,
0.0217725,1.343668,0.1094906,-0.04347336,359.9756,92.76558,90.58061,1.377232,0.1056859,0.1043645,1.602602,81.71024,88.54755,
0.0224457,1.343711,0.1093824,-0.04343808,359.9805,92.77142,90.55875,1.377206,0.1058648,0.1039709,1.360949,81.58536,88.51515,
0.0215427,1.343742,0.1093727,-0.04352951,359.9709,92.77032,90.54818,1.377175,0.1061544,0.1038616,1.364975,81.57419,88.58904,
0.0221222,1.343888,0.1093207,-0.0436759,359.9623,92.76556,90.5444,1.377368,0.1062478,0.1039039,1.303171,81.55231,88.54629,
0.0235864,1.343899,0.1093544,-0.04357111,359.9763,92.74792,90.54687,1.377541,0.1061308,0.1041121,1.312392,81.55238,88.5442,
0.0213815,1.343686,0.1093252,-0.04346061,359.9778,92.7551,90.5353,1.377353,0.1060933,0.1041319,1.306139,81.56214,88.55139,
0.0223195,1.343639,0.1092736,-0.04355741,359.9726,92.74185,90.5314,1.37743,0.1059674,0.1042782,1.297623,81.57373,88.5302,
0.0222561,1.343694,0.1092497,-0.04354191,359.9751,92.75505,90.53386,1.377368,0.10611,0.104244,1.306792,81.57674,88.5309,
0.0220044,1.343814,0.1093359,-0.04351211,359.9826,92.75496,90.52568,1.377521,0.1059063,0.1043037,1.314218,81.58675,88.51015,
0.0219739,1.344043,0.1093245,-0.04356134,359.9718,92.76566,90.50904,1.377689,0.1060176,0.1043184,1.308981,81.58048,88.51489,
0.0305933,1.343994,0.1094596,-0.04360092,359.9732,92.75292,90.50119,1.37764,0.1061928,0.1043231,1.318157,81.57983,88.51798,
0.0167862,1.343945,0.1093172,-0.04363942,359.9786,92.76714,90.51172,1.377568,0.1061007,0.1042426,1.332379,81.58096,88.49968,
0.0190586,1.343921,0.1093805,-0.04355013,359.9735,92.75755,90.50195,1.377508,0.1060045,0.1042491,1.307939,81.57937,88.48507,
0.0230745,1.343959,0.109367,-0.04352951,359.961,92.7685,90.49542,1.377619,0.1058881,0.1041585,1.331836,81.57981,88.44177,
0.0218904,1.343813,0.1093605,-0.04352236,359.9615,92.76726,90.49357,1.377556,0.1059069,0.1042078,1.339625,81.60009,88.42196,
0.0218485,1.343903,0.1094275,-0.04347086,359.9563,92.76759,90.48531,1.377738,0.1058853,0.1042123,1.334721,81.60123,88.41425,
0.0225618,1.344012,0.1093304,-0.04350364,359.9668,92.77126,90.48868,1.377567,0.1058697,0.1043352,1.354259,81.59774,88.41667,
0.0219221,1.344015,0.1093592,-0.04347301,359.9625,92.76487,90.47982,1.377699,0.1058773,0.1042888,1.362459,81.59712,88.43408,
0.0226523,1.343922,0.1093616,-0.0435847,359.9553,92.77808,90.49004,1.3776,0.1058646,0.1042665,1.370793,81.60207,88.44581,
0.0220901,1.343925,0.10939,-0.04355431,359.9517,92.77312,90.48531,1.377634,0.1059172,0.1042533,1.363093,81.59072,88.44068,
0.022363,1.343955,0.109444,-0.04353309,359.9492,92.77062,90.48168,1.377613,0.1059507,0.1042203,1.361576,81.5925,88.46206,
0.0219829,1.343985,0.1094161,-0.0435549,359.9519,92.77958,90.4798,1.377662,0.105992,0.1041908,1.349608,81.58157,88.45131,
0.0223539,1.343983,0.1094613,-0.04354501,359.955,92.7704,90.48941,1.377594,0.1060243,0.1041017,1.359231,81.58867,88.46431,
0.0222766,1.344067,0.1093892,-0.0435636,359.9567,92.76111,90.47867,1.377716,0.1059995,0.1041238,1.354225,81.59267,88.46889,
0.0218404,1.344064,0.1093976,-0.04354334,359.9439,92.78384,90.48704,1.377656,0.1059029,0.1040788,1.358082,81.58804,88.46061,
0.0229308,1.343972,0.1093402,-0.04352081,359.9452,92.77616,90.48591,1.377581,0.1059762,0.1041518,1.349441,81.5967,88.46316,
0.0218071,1.343966,0.1093324,-0.04350138,359.9586,92.76482,90.48698,1.377647,0.1058122,0.1043572,1.339368,81.59747,88.45562,
0.0226508,1.343898,0.1092992,-0.04343879,359.9539,92.77431,90.49134,1.377515,0.1058038,0.1043441,1.34047,81.58633,88.46532,
0.0220289,1.343912,0.1093099,-0.04356027,359.9461,92.76467,90.4927,1.377434,0.1057851,0.1041837,1.342048,81.58563,88.46735,
0.0216597,1.343948,0.1092819,-0.04352903,359.9479,92.76183,90.48506,1.37752,0.1057242,0.1043055,1.343693,81.59547,88.47459,
0.0228552,1.343923,0.1093036,-0.04343748,359.9521,92.76588,90.48705,1.377543,0.1058479,0.1042706,1.350725,81.59348,88.47419,
0.022416,1.343925,0.1094073,-0.04351044,359.9526,92.76743,90.49323,1.377563,0.1059,0.1042194,1.344332,81.59763,88.48626,
0.02311,1.34404,0.1094654,-0.0436033,359.9553,92.76491,90.49044,1.377602,0.1059588,0.1041509,1.35948,81.60197,88.53171,
0.0218827,1.344008,0.1094615,-0.04359257,359.9535,92.76523,90.49948,1.377476,0.1058966,0.1041656,1.355755,81.59861,88.50569,
0.0212292,1.343899,0.1094074,-0.04357016,359.9379,92.76768,90.48515,1.377579,0.1059304,0.1042893,1.343512,81.59667,88.5174,
0.0233912,1.343949,0.1093529,-0.04355693,359.9461,92.76261,90.49142,1.377726,0.1058482,0.1042621,1.343177,81.59904,88.52024,
0.0240819,1.343869,0.1094108,-0.04348028,359.9417,92.78072,90.49441,1.37752,0.105871,0.1043308,1.339355,81.59467,88.51995,
0.0231615,1.3439,0.1094446,-0.0436492,359.944,92.76891,90.49667,1.377511,0.1059657,0.1041839,1.347584,81.60662,88.52259,
0.0204733,1.344083,0.1092709,-0.04355085,359.9426,92.77366,90.48328,1.377625,0.1059147,0.1042045,1.356563,81.60048,88.52164,
0.0229885,1.344039,0.1093403,-0.04350328,359.94,92.78096,90.48945,1.377613,0.1058478,0.1042558,1.358631,81.60049,88.51356,
0.0203011,1.343964,0.1093327,-0.04352188,359.9485,92.78374,90.48596,1.377568,0.1058774,0.1042733,1.346993,81.60959,88.51271,
0.023074,1.343948,0.1093772,-0.04353881,359.9469,92.77785,90.48791,1.377651,0.1058237,0.104265,1.337901,81.61314,88.49786,
0.0215913,1.343945,0.1094531,-0.04352701,359.948,92.77743,90.48621,1.377754,0.1057968,0.1042256,1.338152,81.60609,88.51463,
0.0222148,1.343945,0.1094393,-0.0436511,359.9583,92.77318,90.48959,1.377511,0.1059022,0.1041001,1.359562,81.61079,88.52629,
0.0231181,1.343888,0.1094025,-0.04367459,359.9552,92.77412,90.48825,1.377518,0.1059096,0.1040239,1.331532,81.60315,88.5173,
0.0221865,1.343986,0.109353,-0.04355431,359.9464,92.76897,90.49318,1.377546,0.1058376,0.1042815,1.33594,81.60583,88.51385,
0.0245004,1.344065,0.1093532,-0.04355431,359.9561,92.76834,90.49145,1.37772,0.1059273,0.1042939,1.332685,81.60859,88.51369,
0.0200126,1.344023,0.1093103,-0.04365683,359.9523,92.76328,90.49402,1.37761,0.1059593,0.1042013,1.333086,81.61834,88.49648,
0.0224001,1.34398,0.1093506,-0.04365051,359.956,92.76213,90.50114,1.377644,0.1059982,0.1041604,1.334224,81.61998,88.50847,
0.0219399,1.343934,0.1093951,-0.04357314,359.9546,92.76687,90.51319,1.377673,0.1059158,0.1041065,1.347871,81.61411,88.50185,
0.022997,1.343912,0.1094807,-0.04357171,359.9615,92.76872,90.50988,1.377631,0.1058643,0.1041702,1.339432,81.61985,88.50874,
0.0226515,1.343867,0.1095081,-0.04352701,359.9564,92.7625,90.51764,1.377599,0.1059101,0.1041415,1.347926,81.61819,88.49754,
0.0217585,1.344048,0.1093276,-0.04365015,359.9519,92.75892,90.50478,1.377775,0.1058663,0.1042125,1.33129,81.6173,88.49989,
0.014991,1.344076,0.1093349,-0.04365635,359.9555,92.76752,90.50905,1.377795,0.1058784,0.1042025,1.333691,81.61469,88.50166,
0.0197597,1.344127,0.1092257,-0.04370129,359.9533,92.77424,90.51227,1.377775,0.1058733,0.104139,1.335816,81.6134,88.50069,
0.0173122,1.343976,0.1092941,-0.04367375,359.9574,92.75665,90.50777,1.377657,0.1058867,0.1041297,1.342487,81.61076,88.50413,
0.0163337,1.343988,0.1093035,-0.04359949,359.9576,92.76368,90.50546,1.377684,0.1057787,0.104202,1.351574,81.6123,88.51228,
0.0158629,1.34396,0.1093424,-0.04357255,359.9536,92.76448,90.50996,1.377697,0.1058104,0.1041803,1.35074,81.61842,88.51031,
0.0158017,1.343942,0.109388,-0.04369593,359.9448,92.76026,90.50661,1.377603,0.1058503,0.1041012,1.348146,81.61961,88.49307,
